id,symbol,name,current_price,market_cap,price_change_24h,price_change_pct_24h,total_volume,last_updated
bitcoin,btc,Bitcoin,88572,1768920028842,224.35,0.25393,22551662215,2025-12-21T23:55:22.379Z
ethereum,eth,Ethereum,3002.47,362519624877,25.31,0.84997,11502821364,2025-12-21T23:55:22.316Z
tether,usdt,Tether,0.999811,186787106693,8.972e-05,0.00897,45648719697,2025-12-21T23:55:28.357Z
binancecoin,bnb,BNB,858.06,118126351300,4.49,0.52647,794568560,2025-12-21T23:55:22.089Z
ripple,xrp,XRP,1.92,116507654772,-0.008784406193617755,-0.45469,2382784093,2025-12-21T23:55:28.063Z
usd-coin,usdc,USDC,1.0,77107714886,2.073e-05,0.00207,5049024185,2025-12-21T23:55:28.191Z
solana,sol,Solana,126.03,70819234725,0.302682,0.24074,2599774893,2025-12-21T23:55:27.932Z
tron,trx,TRON,0.288205,27288975595,0.00712617,2.53529,584683568,2025-12-21T23:55:27.932Z
staked-ether,steth,Lido Staked Ether,3002.27,26326098187,27.63,0.92899,19127670,2025-12-21T23:55:27.608Z
dogecoin,doge,Dogecoin,0.131082,22020292355,-0.000866252321110011,-0.65651,637658773,2025-12-21T23:55:27.736Z
figure-heloc,figr_heloc,Figure Heloc,1.021,14559285474,0.0,0.0,237970,2025-12-21T05:21:10.386Z
cardano,ada,Cardano,0.366045,13403780755,-0.00677215435535411,-1.81648,461786932,2025-12-21T23:55:28.074Z
whitebit,wbt,WhiteBIT Coin,57.67,12353570910,0.143659,0.24971,38611480,2025-12-21T23:55:27.536Z
bitcoin-cash,bch,Bitcoin Cash,589.93,11784415576,-2.4642266666101023,-0.41598,256109635,2025-12-21T23:55:27.685Z
wrapped-steth,wsteth,Wrapped stETH,3670.92,11626953478,34.1,0.93771,29877333,2025-12-21T23:55:27.737Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,88411,11045555066,384.77,0.43711,123153805,2025-12-21T23:55:27.856Z
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,3260.75,10641111496,25.65,0.79288,1240122,2025-12-21T23:55:27.496Z
usds,usds,USDS,0.999705,9920635575,-0.000177546979356236,-0.01776,11399641,2025-12-21T23:55:27.543Z
wrapped-eeth,weeth,Wrapped eETH,3255.66,9190148223,29.24,0.90623,2146885,2025-12-21T23:55:27.652Z
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),0.999878,8981696325,0.00024834,0.02484,850684413,2025-12-21T23:55:28.309Z
chainlink,link,Chainlink,12.44,8798904607,-0.11544557148613599,-0.91952,346947435,2025-12-21T23:55:27.868Z
monero,xmr,Monero,471.45,8696829597,-5.660111553431591,-1.18633,171096816,2025-12-21T23:55:27.595Z
weth,weth,WETH,3004.07,7515997249,28.33,0.95206,52650524,2025-12-21T23:55:28.469Z
leo-token,leo,LEO Token,8.1,7469491290,-0.43851535571819156,-5.13395,3104387,2025-12-21T23:55:27.557Z
zcash,zec,Zcash,442.45,7279809164,-4.510558355464241,-1.00917,547686001,2025-12-21T23:55:27.809Z
stellar,xlm,Stellar,0.216486,7018340949,-0.00171500477000272,-0.78597,89477975,2025-12-21T23:55:27.918Z
hyperliquid,hype,Hyperliquid,24.66,6675104321,0.755655,3.1616,146713693,2025-12-21T23:55:27.771Z
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,88551,6478237008,290.05,0.32863,262555657,2025-12-21T23:55:27.955Z
ethena-usde,usde,Ethena USDe,0.99912,6421906380,5.37e-05,0.00538,86983301,2025-12-21T23:55:27.683Z
