id,symbol,name,current_price,market_cap,price_change_24h,price_change_pct_24h,total_volume,last_updated
bitcoin,btc,Bitcoin,89215,1780038935699,-381.1769536169595,-0.42544,21983012902,2025-12-07T09:32:11.689Z
ethereum,eth,Ethereum,3031.83,365627267945,1.54,0.05073,10229941976,2025-12-07T09:32:11.575Z
tether,usdt,Tether,1.0,185673394874,-7.753475130823e-06,-0.00078,38737299716,2025-12-07T09:32:01.772Z
binancecoin,bnb,BNB,889.25,122420658453,6.85,0.77684,942524922,2025-12-07T09:32:12.050Z
ripple,xrp,XRP,2.03,122395494997,0.00369458,0.18248,1734316465,2025-12-07T09:32:13.628Z
usd-coin,usdc,USDC,0.999802,78119610640,6.59601e-07,7e-05,1976612073,2025-12-07T09:32:02.609Z
solana,sol,Solana,131.77,73880216548,-0.7087464597309179,-0.53498,2288307889,2025-12-07T09:32:14.200Z
tron,trx,TRON,0.284941,26990937309,-0.003742127610239065,-1.29628,521733933,2025-12-07T09:32:02.049Z
staked-ether,steth,Lido Staked Ether,3030.46,26266015055,7.29,0.24117,19108524,2025-12-07T09:32:14.273Z
dogecoin,doge,Dogecoin,0.138859,22436613815,-0.000260379068106137,-0.18716,606020709,2025-12-07T09:32:09.319Z
cardano,ada,Cardano,0.41581,15241802066,0.00346469,0.84024,382999813,2025-12-07T09:32:08.496Z
figure-heloc,figr_heloc,Figure Heloc,1.029,14469471306,-0.009022000000000086,-0.86951,96951,2025-12-07T04:25:25.590Z
whitebit,wbt,WhiteBIT Coin,60.4,12935514732,-0.2024610369873301,-0.33409,47341988,2025-12-07T09:32:02.656Z
wrapped-steth,wsteth,Wrapped stETH,3699.11,12293162269,-1.890704442864262,-0.05109,23382937,2025-12-07T09:32:03.684Z
bitcoin-cash,bch,Bitcoin Cash,582.31,11648910092,2.34,0.40337,329504091,2025-12-07T09:32:07.933Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,88977,11127219042,-443.3651110721403,-0.49582,72028193,2025-12-07T09:32:03.408Z
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,3287.77,10728530192,-0.5838842413404564,-0.01776,2045190,2025-12-07T09:32:02.954Z
chainlink,link,Chainlink,13.79,9610608677,0.124675,0.91226,434167849,2025-12-07T09:32:08.637Z
usds,usds,USDS,0.999651,9502753827,-9.1159269050567e-05,-0.00912,12098128,2025-12-07T09:32:02.102Z
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),1.0,8985262008,-0.000159712719602023,-0.01597,878847622,2025-12-07T09:32:08.369Z
leo-token,leo,LEO Token,9.64,8886160614,0.084007,0.87935,343658,2025-12-07T09:32:09.884Z
weth,weth,WETH,3029.04,8451030873,-3.0486708498287953,-0.10055,54160153,2025-12-07T09:32:03.714Z
hyperliquid,hype,Hyperliquid,29.41,7989021235,-1.412233569315429,-4.58226,157770388,2025-12-07T09:32:12.772Z
stellar,xlm,Stellar,0.240396,7772674536,0.0013623,0.56992,71230327,2025-12-07T09:32:14.358Z
wrapped-eeth,weeth,Wrapped eETH,3280.19,7724330143,-1.9347773364443128,-0.05895,12601570,2025-12-07T09:32:03.095Z
monero,xmr,Monero,382.79,7067288658,-13.705378652497075,-3.45663,101727382,2025-12-07T09:32:11.010Z
ethena-usde,usde,Ethena USDe,0.999244,6702083136,-0.000147006384333737,-0.01471,78840851,2025-12-07T09:32:09.481Z
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,89205,6467714854,-378.947374568932,-0.42301,156427149,2025-12-07T09:32:08.537Z
litecoin,ltc,Litecoin,81.63,6257100208,1.1,1.36589,371602750,2025-12-07T09:32:10.479Z
sui,sui,Sui,1.57,5858688912,0.03543477,2.31515,566695216,2025-12-07T09:32:01.210Z
avalanche-2,avax,Avalanche,13.35,5730114901,0.098771,0.74522,270887327,2025-12-07T09:32:07.641Z
hedera-hashgraph,hbar,Hedera,0.133461,5668913980,0.00036286,0.27263,90407918,2025-12-07T09:32:11.996Z
zcash,zec,Zcash,337.42,5525150513,-11.388753445624786,-3.26501,630461136,2025-12-07T09:32:03.704Z
shiba-inu,shib,Shiba Inu,8.4e-06,4953084758,4.4112e-08,0.52808,98690688,2025-12-07T09:32:13.822Z
dai,dai,Dai,0.999427,4336677458,-0.000216693317050987,-0.02168,54935254,2025-12-07T09:32:08.699Z
susds,susds,sUSDS,1.079,4211897066,-0.007118377604641291,-0.65563,3968327,2025-12-07T09:32:14.389Z
world-liberty-financial,wlfi,World Liberty Financial,0.147675,4025674554,-0.001146955566631552,-0.77069,67542598,2025-12-07T09:32:03.001Z
usdt0,usdt0,USDT0,1.0,3949922393,-0.000126849476370428,-0.01268,109086764,2025-12-07T09:32:02.641Z
the-open-network,ton,Toncoin,1.58,3856222616,-0.002051635503561799,-0.12996,64328216,2025-12-07T09:32:01.621Z
crypto-com-chain,cro,Cronos,0.10288,3851113411,-0.001259761995938052,-1.20968,10607032,2025-12-07T09:32:08.558Z
paypal-usd,pyusd,PayPal USD,0.999819,3845723490,1.362e-05,0.00136,48946748,2025-12-07T09:32:12.011Z
ethena-staked-usde,susde,Ethena Staked USDe,1.21,3667144355,0.00020542,0.01701,25245769,2025-12-07T09:32:09.635Z
uniswap,uni,Uniswap,5.54,3487883510,0.050313,0.91722,184793952,2025-12-07T09:32:02.227Z
mantle,mnt,Mantle,1.068,3473872733,-0.003845637835035332,-0.35875,61599192,2025-12-07T09:32:10.340Z
polkadot,dot,Polkadot,2.11,3473766443,0.01328793,0.63246,132096536,2025-12-07T09:32:13.149Z
aave,aave,Aave,188.23,2853735898,4.91,2.68007,168897149,2025-12-07T09:32:06.910Z
usd1-wlfi,usd1,USD1,0.999334,2725341970,2.829e-05,0.00283,224761289,2025-12-07T09:32:02.483Z
bittensor,tao,Bittensor,281.58,2701133117,4.2,1.51587,68057874,2025-12-07T09:32:07.720Z
bitget-token,bgb,Bitget Token,3.54,2474799036,0.04036282,1.15483,47153751,2025-12-07T09:32:07.719Z
okb,okb,OKB,107.09,2248834561,2.68,2.56502,33974187,2025-12-07T09:32:11.496Z
canton-network,cc,Canton,0.062486,2239027065,0.00175175,2.88427,17202487,2025-12-07T09:32:07.981Z
tether-gold,xaut,Tether Gold,4191.34,2198365733,-20.37621742034389,-0.4838,209607994,2025-12-07T09:32:01.324Z
memecore,m,MemeCore,1.29,2191289557,-0.05568589833873072,-4.14595,10696161,2025-12-07T09:32:10.440Z
falcon-finance,usdf,Falcon USD,0.997962,2186475778,-0.000838359690281343,-0.08394,332227,2025-12-07T09:32:09.556Z
near,near,NEAR Protocol,1.69,2172328151,-0.005595308115077913,-0.32905,139519161,2025-12-07T09:32:11.412Z
ethereum-classic,etc,Ethereum Classic,13.18,2039754821,-0.01710326922553307,-0.12958,42286044,2025-12-07T09:32:09.372Z
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2028557862,0.0,0.0,0.0,2025-12-07T09:30:07.328Z
