id,symbol,name,current_price,market_cap,price_change_24h,price_change_pct_24h,total_volume,last_updated
falcon-finance,usdf,Falcon USD,0.99866,2185153084,0.00033275,0.03333,329466,2025-12-07T09:18:18.116Z
memecore,m,MemeCore,1.27,2177498437,-0.057096216918100406,-4.29316,12336192,2025-12-07T09:18:20.319Z
ethereum-classic,etc,Ethereum Classic,13.24,2048753372,0.04771129,0.3618,41531193,2025-12-07T09:18:18.143Z
aster-2,aster,Aster,0.965712,2030050099,-0.026613576911381887,-2.68194,154496435,2025-12-07T09:18:15.650Z
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2028557862,0.0,0.0,0.0,2025-12-07T09:15:05.770Z
ethena,ena,Ethena,0.258705,1991977560,0.00113731,0.44156,132008342,2025-12-07T09:18:18.079Z
pepe,pepe,Pepe,4.48e-06,1883305101,1.12877e-07,2.58643,217831392,2025-12-07T09:18:11.013Z
internet-computer,icp,Internet Computer,3.46,1874560841,-0.03709940169799353,-1.06055,48125021,2025-12-07T09:18:19.518Z
jito-staked-sol,jitosol,Jito Staked SOL,164.56,1866214717,-0.464889216712038,-0.28171,8879558,2025-12-07T09:18:19.544Z
pi-network,pi,Pi Network,0.22232,1854148159,-0.00432972233030407,-1.91032,10888962,2025-12-07T09:18:10.996Z
binance-peg-weth,weth,Binance-Peg WETH,3036.97,1837689036,10.41,0.34409,27327076,2025-12-07T09:18:16.398Z
rain,rain,Rain,0.00758849,1807666735,0.00014542,1.95376,23654771,2025-12-07T09:18:11.444Z
pump-fun,pump,Pump.fun,0.0029622,1747696536,5.184e-05,1.78121,110588916,2025-12-07T09:18:17.898Z
wrapped-solana,sol,Wrapped SOL,132.14,1675284025,-0.30617635186135317,-0.23116,409650494,2025-12-07T09:18:15.026Z
jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,4.63,1674885337,-0.000709480772549398,-0.01533,11474031,2025-12-07T09:18:19.600Z
htx-dao,htx,HTX DAO,1.65e-06,1535802071,-1.6375263573e-08,-0.98209,10448618,2025-12-07T09:18:19.041Z
syrupusdc,syrupusdc,syrupUSDC,1.14,1486348466,0.000291,0.02552,3525704,2025-12-07T09:18:12.950Z
ondo-finance,ondo,Ondo,0.464335,1467512267,0.0009736,0.21012,30315475,2025-12-07T09:18:10.610Z
pax-gold,paxg,PAX Gold,4213.97,1431588813,-0.2962304040438539,-0.00703,38562592,2025-12-07T09:18:11.056Z
hash-2,hash,Provenance Blockchain,0.02691546,1399267787,-0.001980291130883924,-6.85323,2846.81,2025-12-07T09:18:18.791Z
worldcoin-wld,wld,Worldcoin,0.579208,1384821644,0.00233565,0.40488,56637736,2025-12-07T09:18:14.367Z
global-dollar,usdg,Global Dollar,1.0,1368313853,0.00026031,0.02604,11044681,2025-12-07T09:18:18.743Z
kaspa,kas,Kaspa,0.050694,1358469307,-0.001606543128436083,-3.07174,18763611,2025-12-07T09:18:19.785Z
kucoin-shares,kcs,KuCoin,10.18,1319698851,0.161114,1.60876,2764340,2025-12-07T09:18:19.760Z
bfusd,bfusd,BFUSD,0.999443,1319254945,-3.515648831387e-06,-0.00035,7279321,2025-12-07T09:18:15.916Z
hashnote-usyc,usyc,Circle USYC,1.11,1309979327,0.0,0.0,470.93,2025-12-06T14:01:14.528Z
quant-network,qnt,Quant,89.65,1306548227,-0.24430231798780255,-0.27177,15847769,2025-12-07T09:18:18.019Z
syrupusdt,syrupusdt,syrupUSDT,1.11,1302291756,0.00043135,0.03899,571287,2025-12-07T09:18:12.923Z
polygon-ecosystem-token,pol,POL (ex-MATIC),0.122565,1292975619,0.00214602,1.78213,50193919,2025-12-07T09:18:11.239Z
ripple-usd,rlusd,Ripple USD,0.999562,1292603903,0.00010258,0.01026,28059920,2025-12-07T09:18:11.792Z
binance-bridged-usdc-bnb-smart-chain,usdc,Binance Bridged USDC (BNB Smart Chain),0.999867,1288718119,0.00010483,0.01049,123774214,2025-12-07T09:18:16.427Z
rocket-pool-eth,reth,Rocket Pool ETH,3493.79,1276340367,17.32,0.49835,1196583,2025-12-07T09:18:11.805Z
aptos,apt,Aptos,1.72,1269859791,0.0223389,1.31201,210246783,2025-12-07T09:18:15.737Z
sky,sky,Sky,0.0526,1209429865,-0.000406797345123951,-0.76745,8905314,2025-12-07T09:18:12.398Z
gatechain-token,gt,Gate,10.25,1202838934,0.121822,1.20295,1984505,2025-12-07T09:18:18.459Z
wbnb,wbnb,Wrapped BNB,890.62,1201301281,7.03,0.79568,78251323,2025-12-07T09:18:15.037Z
algorand,algo,Algorand,0.133838,1181519163,0.00099306,0.74753,27827204,2025-12-07T09:18:15.281Z
arbitrum,arb,Arbitrum,0.207394,1165841228,0.00447171,2.20366,75838777,2025-12-07T09:18:15.653Z
official-trump,trump,Official Trump,5.68,1137375762,-0.05504178978396013,-0.95955,152393656,2025-12-07T09:18:10.664Z
binance-staked-sol,bnsol,Binance Staked SOL,143.5,1132430773,-0.35220528483549174,-0.24484,1297150,2025-12-07T09:18:15.999Z
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,3215.75,1092894785,6.77,0.21101,100690,2025-12-07T09:18:19.606Z
vechain,vet,VeChain,0.01259457,1081647986,-1.9126867547223e-05,-0.15164,15424868,2025-12-07T09:18:13.912Z
filecoin,fil,Filecoin,1.49,1076002876,0.00807048,0.54639,65206040,2025-12-07T09:18:18.217Z
cosmos,atom,Cosmos Hub,2.22,1068107517,0.00605269,0.27379,27394436,2025-12-07T09:18:17.439Z
usdtb,usdtb,USDtb,1.0,1049668409,-0.000107436444192643,-0.01074,65090,2025-12-07T09:18:13.647Z
ignition-fbtc,fbtc,Function FBTC,89287,1046474506,-394.4172994342807,-0.4398,19594.57,2025-12-07T09:18:19.188Z
flare-networks,flr,Flare,0.0129597,1045843544,-6.1847080125752e-05,-0.47496,3442524,2025-12-07T09:18:18.196Z
