id,symbol,name,current_price,market_cap,price_change_24h,price_change_pct_24h,total_volume,last_updated
bitcoin,btc,Bitcoin,89488,1785991185231,-110.3976439347316,-0.12321,21716620632,2025-12-07T13:05:02.154Z
ethereum,eth,Ethereum,3050.77,368057582999,18.78,0.61955,10185097201,2025-12-07T13:05:04.001Z
tether,usdt,Tether,1.0,185671827806,-7.5890859763117e-05,-0.00759,37883853660,2025-12-07T13:05:02.994Z
ripple,xrp,XRP,2.05,123546989910,0.01647576,0.81129,1675779914,2025-12-07T13:05:01.451Z
binancecoin,bnb,BNB,893.04,123031592611,8.77,0.99232,971650573,2025-12-07T13:05:01.792Z
usd-coin,usdc,USDC,0.999801,78103038924,-4.8668242813799e-05,-0.00487,2300986307,2025-12-07T13:05:04.721Z
solana,sol,Solana,132.93,74505350583,0.243547,0.18356,2348520694,2025-12-07T13:05:01.858Z
tron,trx,TRON,0.284966,26976365266,-0.004937653111519613,-1.7032,505954813,2025-12-07T13:05:03.263Z
staked-ether,steth,Lido Staked Ether,3049.62,26440650419,17.12,0.56442,14211525,2025-12-07T13:05:01.700Z
dogecoin,doge,Dogecoin,0.139737,22585664837,0.00018939,0.13572,598544995,2025-12-07T13:04:56.654Z
cardano,ada,Cardano,0.418735,15321211539,0.00440476,1.0631,386176108,2025-12-07T13:04:55.406Z
figure-heloc,figr_heloc,Figure Heloc,1.029,14469471306,0.0089239,0.87519,96951,2025-12-07T04:25:25.590Z
whitebit,wbt,WhiteBIT Coin,60.55,12977436939,-0.1256638802554093,-0.20711,46734629,2025-12-07T13:04:54.647Z
wrapped-steth,wsteth,Wrapped stETH,3723.72,12389333443,21.73,0.58703,23395280,2025-12-07T13:04:55.209Z
bitcoin-cash,bch,Bitcoin Cash,579.61,11567905750,-10.467454534981357,-1.77392,273822472,2025-12-07T13:05:04.546Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,89314,11161555495,-87.2826365375222,-0.09763,73780301,2025-12-07T13:04:55.318Z
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,3308.86,10798897761,20.13,0.61213,2165823,2025-12-07T13:04:55.509Z
chainlink,link,Chainlink,13.94,9705315986,0.216075,1.57484,425063282,2025-12-07T13:04:55.750Z
usds,usds,USDS,0.999857,9505752703,0.00011801,0.0118,13006953,2025-12-07T13:05:04.006Z
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),1.0,8985773290,6.823e-05,0.00682,813299216,2025-12-07T13:04:54.469Z
leo-token,leo,LEO Token,9.66,8902602537,0.073095,0.76224,401983,2025-12-07T13:04:58.537Z
weth,weth,WETH,3048.98,8501740666,17.44,0.57536,147433852,2025-12-07T13:04:55.324Z
hyperliquid,hype,Hyperliquid,29.89,8099463450,-0.7938525710167177,-2.58733,208906224,2025-12-07T13:04:57.920Z
stellar,xlm,Stellar,0.241062,7796011135,0.00055082,0.22902,72546145,2025-12-07T13:05:02.235Z
wrapped-eeth,weeth,Wrapped eETH,3302.98,7775846908,20.92,0.6374,13635935,2025-12-07T13:04:55.100Z
monero,xmr,Monero,379.5,6993242789,-12.801589560134062,-3.2632,108936725,2025-12-07T13:04:59.327Z
ethena-usde,usde,Ethena USDe,0.9994,6703093503,0.00013881,0.01389,74221409,2025-12-07T13:04:56.982Z
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,89444,6483431874,-187.1967249413574,-0.20885,159661318,2025-12-07T13:04:55.989Z
litecoin,ltc,Litecoin,82.33,6304882857,1.078,1.32652,354433172,2025-12-07T13:04:58.839Z
sui,sui,Sui,1.59,5951586570,0.073284,4.82019,582937913,2025-12-07T13:05:02.397Z
avalanche-2,avax,Avalanche,13.43,5763894791,0.235406,1.78371,267434227,2025-12-07T13:05:03.988Z
hedera-hashgraph,hbar,Hedera,0.134642,5717097677,0.00206691,1.55904,93836482,2025-12-07T13:04:57.660Z
zcash,zec,Zcash,347.57,5700484605,7.36,2.16451,618359862,2025-12-07T13:04:55.700Z
shiba-inu,shib,Shiba Inu,8.41e-06,4956870288,-1.44815162892e-07,-1.69298,84772345,2025-12-07T13:05:01.563Z
dai,dai,Dai,0.999643,4343012389,0.00074077,0.07416,60199602,2025-12-07T13:04:56.294Z
susds,susds,sUSDS,1.078,4208085230,-0.007386170663715941,-0.68042,3938848,2025-12-07T13:05:02.027Z
world-liberty-financial,wlfi,World Liberty Financial,0.147598,4021848160,-0.001481326623043372,-0.99365,69643556,2025-12-07T13:04:54.983Z
usdt0,usdt0,USDT0,1.0,3953256444,9.233e-05,0.00923,130205960,2025-12-07T13:05:04.535Z
the-open-network,ton,Toncoin,1.6,3912647262,0.02975956,1.89512,64712388,2025-12-07T13:05:02.910Z
crypto-com-chain,cro,Cronos,0.10331,3859281698,-0.000822918397373543,-0.79026,11444714,2025-12-07T13:04:56.008Z
paypal-usd,pyusd,PayPal USD,0.999894,3845605391,0.00011794,0.0118,50777617,2025-12-07T13:05:00.252Z
ethena-staked-usde,susde,Ethena Staked USDe,1.21,3666735546,0.00011479,0.0095,14892995,2025-12-07T13:04:56.826Z
mantle,mnt,Mantle,1.092,3554105480,0.02226149,2.0817,65647249,2025-12-07T13:04:58.901Z
uniswap,uni,Uniswap,5.58,3512214712,0.081819,1.48835,198216607,2025-12-07T13:05:03.403Z
polkadot,dot,Polkadot,2.11,3461867865,0.00276254,0.13127,136429959,2025-12-07T13:05:00.720Z
aave,aave,Aave,189.53,2868730113,5.38,2.92181,181843830,2025-12-07T13:05:02.799Z
usd1-wlfi,usd1,USD1,0.999182,2725528559,0.00015114,0.01513,181603885,2025-12-07T13:05:04.272Z
bittensor,tao,Bittensor,282.0,2706193830,5.73,2.07324,67682680,2025-12-07T13:05:04.337Z
bitget-token,bgb,Bitget Token,3.55,2488649380,0.02164205,0.61279,45926731,2025-12-07T13:05:04.190Z
okb,okb,OKB,108.25,2270100648,2.39,2.26012,33874059,2025-12-07T13:04:59.832Z
canton-network,cc,Canton,0.062387,2236748365,-0.002856187401845942,-4.37775,13334079,2025-12-07T13:04:55.058Z
memecore,m,MemeCore,1.28,2198841849,-0.08285814603395303,-6.06117,12510814,2025-12-07T13:04:59.017Z
tether-gold,xaut,Tether Gold,4192.34,2194708908,-18.099307829268582,-0.42987,209962455,2025-12-07T13:05:02.511Z
falcon-finance,usdf,Falcon USD,0.998859,2187668864,0.00186318,0.18688,896669,2025-12-07T13:04:56.859Z
near,near,NEAR Protocol,1.7,2175763036,-0.011673104640782306,-0.68281,133585434,2025-12-07T13:04:59.630Z
ethereum-classic,etc,Ethereum Classic,13.15,2033285795,-0.10317220451281273,-0.77858,42959965,2025-12-07T13:04:56.964Z
