id,symbol,name,current_price,market_cap,price_change_24h,price_change_pct_24h,total_volume,last_updated
bitcoin,btc,Bitcoin,89166,1780391577759,-493.66418769359007,-0.5506,21959766101,2025-12-07T09:48:45.156Z
ethereum,eth,Ethereum,3026.72,365564543522,-4.591288400271424,-0.15146,10227800606,2025-12-07T09:48:45.884Z
tether,usdt,Tether,1.0,185677041774,-7.6220926284343e-05,-0.00762,38682338893,2025-12-07T09:48:43.916Z
ripple,xrp,XRP,2.03,122465263786,0.00118048,0.05822,1693229180,2025-12-07T09:48:42.489Z
binancecoin,bnb,BNB,887.98,122386257013,5.11,0.57847,986003740,2025-12-07T09:48:44.897Z
usd-coin,usdc,USDC,0.999896,78114962633,0.00018472,0.01848,3832378783,2025-12-07T09:48:44.400Z
solana,sol,Solana,131.83,73932103679,-0.8661058230167669,-0.6527,2294705620,2025-12-07T09:48:42.805Z
tron,trx,TRON,0.284546,26951832539,-0.004160181575080746,-1.44097,532255555,2025-12-07T09:48:43.860Z
staked-ether,steth,Lido Staked Ether,3028.07,26272674284,-3.0274448577115436,-0.09988,18985192,2025-12-07T09:48:42.618Z
dogecoin,doge,Dogecoin,0.138722,22431153887,-0.000607312488560913,-0.43588,603806225,2025-12-07T09:48:37.577Z
cardano,ada,Cardano,0.415613,15243403392,0.00256185,0.62023,383562222,2025-12-07T09:48:36.777Z
figure-heloc,figr_heloc,Figure Heloc,1.029,14469471306,-0.009022000000000086,-0.86951,96951,2025-12-07T04:25:25.590Z
whitebit,wbt,WhiteBIT Coin,60.38,12923853631,-0.24631356488757916,-0.40629,47102013,2025-12-07T09:48:44.154Z
wrapped-steth,wsteth,Wrapped stETH,3698.83,12296918847,-2.593880077511585,-0.07008,26085747,2025-12-07T09:48:44.557Z
bitcoin-cash,bch,Bitcoin Cash,577.32,11560781739,-6.354549075530485,-1.08871,321053962,2025-12-07T09:48:36.264Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,89044,11127487012,-455.3452726979158,-0.50877,71829044,2025-12-07T09:48:44.657Z
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,3284.31,10727468725,-4.326842197802762,-0.13157,2057666,2025-12-07T09:48:44.337Z
chainlink,link,Chainlink,13.76,9598722894,0.057759,0.42146,433891233,2025-12-07T09:48:37.030Z
usds,usds,USDS,0.999741,9502754152,-2.52664979894e-06,-0.00025,12099288,2025-12-07T09:48:43.922Z
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),1.0,8983710245,0.00035061,0.03506,839013272,2025-12-07T09:48:36.554Z
leo-token,leo,LEO Token,9.63,8875184473,0.054796,0.57249,345373,2025-12-07T09:48:39.419Z
weth,weth,WETH,3029.2,8459544509,-3.427591497907997,-0.11302,79889633,2025-12-07T09:48:44.904Z
hyperliquid,hype,Hyperliquid,29.33,7948906559,-1.6493625442820274,-5.32453,161912883,2025-12-07T09:48:38.795Z
stellar,xlm,Stellar,0.24032,7774934317,0.00072159,0.30117,71786577,2025-12-07T09:48:43.057Z
wrapped-eeth,weeth,Wrapped eETH,3279.85,7724039579,-1.6023281071843485,-0.04883,12594750,2025-12-07T09:48:44.496Z
monero,xmr,Monero,376.26,6939989293,-19.35955055849962,-4.89343,103645941,2025-12-07T09:48:40.219Z
ethena-usde,usde,Ethena USDe,0.999245,6701705638,-0.000249846452336722,-0.025,78841845,2025-12-07T09:48:37.804Z
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,89209,6469098624,-368.84683028915606,-0.41176,152150788,2025-12-07T09:48:36.911Z
litecoin,ltc,Litecoin,81.69,6258068965,1.083,1.34363,370561645,2025-12-07T09:48:39.848Z
