id,symbol,name,current_price,market_cap,price_change_24h,price_change_pct_24h,total_volume,last_updated
bitcoin,btc,Bitcoin,88610,1769182018548,261.95,0.29649,21632257147,2025-12-22T00:00:00.634Z
ethereum,eth,Ethereum,3001.21,362237625180,23.87,0.80176,11542317896,2025-12-22T00:00:00.949Z
tether,usdt,Tether,0.999792,186783670577,6.042e-05,0.00604,45647851487,2025-12-21T23:59:55.156Z
binancecoin,bnb,BNB,858.17,118184623023,4.25,0.49789,784303495,2025-12-22T00:00:00.631Z
ripple,xrp,XRP,1.92,116422983148,-0.009965035576344317,-0.5158,2382931038,2025-12-21T23:59:54.745Z
usd-coin,usdc,USDC,1.0,77106500776,-6.622541326218e-06,-0.00066,5048051334,2025-12-21T23:59:55.140Z
solana,sol,Solana,126.0,70866740448,0.220765,0.17551,2593984208,2025-12-21T23:59:54.913Z
tron,trx,TRON,0.288218,27289218294,0.00693515,2.46554,583318463,2025-12-21T23:59:54.863Z
staked-ether,steth,Lido Staked Ether,3002.15,26324431759,27.35,0.91952,18049893,2025-12-21T23:59:54.426Z
dogecoin,doge,Dogecoin,0.131068,22017141075,-0.000893322042998246,-0.67696,636169808,2025-12-21T23:59:54.708Z
figure-heloc,figr_heloc,Figure Heloc,1.021,14559285474,0.0,0.0,237970,2025-12-21T05:21:10.386Z
cardano,ada,Cardano,0.366023,13417724787,-0.006967450699792488,-1.868,454363933,2025-12-21T23:59:54.941Z
whitebit,wbt,WhiteBIT Coin,57.7,12359956905,0.177143,0.30794,38632957,2025-12-21T23:59:54.426Z
bitcoin-cash,bch,Bitcoin Cash,590.06,11780911639,-2.3958033914185535,-0.40439,256220514,2025-12-21T23:59:54.775Z
wrapped-steth,wsteth,Wrapped stETH,3669.49,11623716206,30.73,0.8445,29934195,2025-12-21T23:59:54.582Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,88359,11041558035,210.04,0.23828,123157622,2025-12-21T23:59:54.884Z
