id,symbol,name,current_price,market_cap,price_change_24h,price_change_pct_24h,total_volume,last_updated
bitcoin,btc,Bitcoin,89206,1780238463858,-453.75844902163954,-0.50609,21775239233,2025-12-07T09:47:22.357Z
ethereum,eth,Ethereum,3029.11,365665826373,-2.2062155734843145,-0.07278,9905483964,2025-12-07T09:47:15.598Z
tether,usdt,Tether,1.0,185674289688,-9.3366857386368e-05,-0.00933,38690791602,2025-12-07T09:47:18.852Z
ripple,xrp,XRP,2.03,122474503232,0.00205165,0.10118,1763274233,2025-12-07T09:47:28.416Z
binancecoin,bnb,BNB,888.69,122386257013,5.82,0.65958,939051423,2025-12-07T09:47:22.289Z
usd-coin,usdc,USDC,0.999832,78114962633,0.00012119,0.01212,3504336992,2025-12-07T09:47:19.376Z
solana,sol,Solana,131.88,73934340026,-0.8171384428973738,-0.6158,2288027255,2025-12-07T09:47:17.509Z
tron,trx,TRON,0.284578,26951832539,-0.004128730952186577,-1.43008,532421862,2025-12-07T09:47:18.801Z
staked-ether,steth,Lido Staked Ether,3029.61,26272674284,-1.4896278372912093,-0.04914,19043578,2025-12-07T09:47:21.084Z
dogecoin,doge,Dogecoin,0.13883,22436267391,-0.000499575205102715,-0.35856,566319498,2025-12-07T09:47:23.086Z
cardano,ada,Cardano,0.415729,15243403392,0.00267716,0.64814,384346481,2025-12-07T09:47:22.256Z
figure-heloc,figr_heloc,Figure Heloc,1.029,14469471306,-0.009022000000000086,-0.86951,96951,2025-12-07T04:25:25.590Z
whitebit,wbt,WhiteBIT Coin,60.31,12948365878,-0.31819244079418496,-0.52485,28361617,2025-12-07T09:47:19.126Z
wrapped-steth,wsteth,Wrapped stETH,3698.78,12296918847,-2.649871723697288,-0.07159,26084816,2025-12-07T09:47:19.453Z
bitcoin-cash,bch,Bitcoin Cash,577.89,11560781739,-5.7861452423428545,-0.99133,332795972,2025-12-07T09:47:21.425Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,89046,11127487012,-453.52627127718006,-0.50674,71818995,2025-12-07T09:47:19.637Z
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,3285.93,10727468725,-2.714823988295848,-0.08255,2058301,2025-12-07T09:47:19.279Z
chainlink,link,Chainlink,13.76,9598722894,0.059664,0.43536,433873040,2025-12-07T09:47:22.437Z
usds,usds,USDS,0.999651,9502755058,-9.2626185778766e-05,-0.00926,12098198,2025-12-07T09:47:18.903Z
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),0.999903,8983710245,-0.000108717008389547,-0.01087,955939356,2025-12-07T09:47:21.788Z
leo-token,leo,LEO Token,9.63,8875184473,0.054796,0.57249,345381,2025-12-07T09:47:25.162Z
weth,weth,WETH,3029.14,8459544509,-3.4905925700854823,-0.1151,54411245,2025-12-07T09:47:20.051Z
hyperliquid,hype,Hyperliquid,29.36,7946767073,-1.617236079075827,-5.22082,161813572,2025-12-07T09:47:24.460Z
stellar,xlm,Stellar,0.24038,7779801172,0.00078208,0.32641,71827985,2025-12-07T09:47:17.847Z
wrapped-eeth,weeth,Wrapped eETH,3279.75,7724039579,-1.7117602144253397,-0.05216,12590419,2025-12-07T09:47:19.374Z
monero,xmr,Monero,376.22,7007159251,-19.403198788086,-4.90446,103403133,2025-12-07T09:47:26.039Z
ethena-usde,usde,Ethena USDe,0.99924,6701705638,-0.000255658235132517,-0.02558,78842252,2025-12-07T09:47:23.416Z
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,89224,6470584233,-353.38375691075635,-0.3945,152181733,2025-12-07T09:47:22.177Z
litecoin,ltc,Litecoin,81.74,6258068965,1.13,1.39586,356366809,2025-12-07T09:47:25.606Z
sui,sui,Sui,1.57,5858220108,0.03802047,2.48395,566671190,2025-12-07T09:47:18.241Z
avalanche-2,avax,Avalanche,13.34,5727659230,0.06503,0.4898,271772351,2025-12-07T09:47:21.113Z
hedera-hashgraph,hbar,Hedera,0.133397,5666224775,-5.3668984382055e-05,-0.04022,90368446,2025-12-07T09:47:24.283Z
zcash,zec,Zcash,336.62,5532079143,-13.011150040752568,-3.72144,629617919,2025-12-07T09:47:19.761Z
shiba-inu,shib,Shiba Inu,8.39e-06,4947601992,3.4379e-08,0.41129,101821427,2025-12-07T09:47:17.274Z
dai,dai,Dai,0.999425,4336814099,-0.000257393591732491,-0.02575,62313700,2025-12-07T09:47:22.618Z
susds,susds,sUSDS,1.078,4209497333,-0.007092802919412167,-0.65336,3959492,2025-12-07T09:47:17.801Z
world-liberty-financial,wlfi,World Liberty Financial,0.147035,4020907084,-0.002127625133694327,-1.42638,68619950,2025-12-07T09:47:25.625Z
usdt0,usdt0,USDT0,1.0,3951845501,0.00026956,0.02696,112531950,2025-12-07T09:47:19.360Z
the-open-network,ton,Toncoin,1.58,3853099921,-0.005163440010294229,-0.32671,63869763,2025-12-07T09:47:18.551Z
paypal-usd,pyusd,PayPal USD,0.999735,3845360325,3.59e-06,0.00036,48966394,2025-12-07T09:47:27.138Z
crypto-com-chain,cro,Cronos,0.102839,3840776902,-0.001449295724474761,-1.3897,11132305,2025-12-07T09:47:22.375Z
ethena-staked-usde,susde,Ethena Staked USDe,1.21,3667193949,0.00035345,0.02927,25227035,2025-12-07T09:47:23.214Z
uniswap,uni,Uniswap,5.52,3483681779,0.02870169,0.52224,186655436,2025-12-07T09:47:18.799Z
mantle,mnt,Mantle,1.068,3476137132,-0.003796716043919179,-0.35408,61765140,2025-12-07T09:47:25.613Z
polkadot,dot,Polkadot,2.11,3474264896,0.00763212,0.36287,132387278,2025-12-07T09:47:27.387Z
aave,aave,Aave,188.21,2852313560,4.12,2.23975,169313663,2025-12-07T09:47:20.281Z
usd1-wlfi,usd1,USD1,0.999052,2724955384,-1.8941499649539e-05,-0.0019,211052162,2025-12-07T09:47:19.000Z
bittensor,tao,Bittensor,280.22,2689815629,2.31,0.83004,68427988,2025-12-07T09:47:21.265Z
bitget-token,bgb,Bitget Token,3.53,2474151542,0.00621508,0.17615,45506368,2025-12-07T09:47:21.798Z
okb,okb,OKB,107.08,2248823689,2.73,2.62088,34029183,2025-12-07T09:47:26.566Z
canton-network,cc,Canton,0.062337,2235038237,0.00175258,2.89277,17132732,2025-12-07T09:47:21.643Z
tether-gold,xaut,Tether Gold,4190.52,2187901517,-20.761602799271714,-0.493,209656799,2025-12-07T09:47:18.193Z
falcon-finance,usdf,Falcon USD,0.999518,2187706922,0.00054315,0.05437,791408,2025-12-07T09:47:23.301Z
memecore,m,MemeCore,1.28,2181638803,-0.06345400110473842,-4.72314,12376112,2025-12-07T09:47:25.688Z
near,near,NEAR Protocol,1.69,2169112107,-0.013414250257636873,-0.78653,139212706,2025-12-07T09:47:26.332Z
ethereum-classic,etc,Ethereum Classic,13.16,2036859160,-0.0538318952104877,-0.40735,43041477,2025-12-07T09:47:23.293Z
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2028557862,0.0,0.0,0.0,2025-12-07T09:45:06.582Z
aster-2,aster,Aster,0.948629,1991911257,-0.04543899747360247,-4.57102,164241409,2025-12-07T09:47:20.804Z
ethena,ena,Ethena,0.258168,1986315504,7.549e-05,0.02925,120379217,2025-12-07T09:47:23.317Z
pepe,pepe,Pepe,4.47e-06,1879571134,1.01084e-07,2.31511,221775054,2025-12-07T09:47:27.235Z
