id,symbol,name,current_price,market_cap,price_change_24h,price_change_pct_24h,total_volume,last_updated
bitcoin,btc,Bitcoin,89303,1782266885600,-291.9726574894303,-0.32588,22885188585,2025-12-07T08:11:01.920Z
ethereum,eth,Ethereum,3034.51,366235756218,3.91,0.129,9139156896,2025-12-07T08:11:03.463Z
tether,usdt,Tether,1.0,185660663092,-8.2751436646156e-05,-0.00827,39517207319,2025-12-07T08:11:06.618Z
binancecoin,bnb,BNB,890.36,122670293452,7.27,0.82313,996553278,2025-12-07T08:11:01.615Z
ripple,xrp,XRP,2.03,122392024853,-0.000730914399994731,-0.03601,1758668904,2025-12-07T08:11:07.086Z
usd-coin,usdc,USDC,0.999802,78120772240,9.266e-05,0.00927,2298675945,2025-12-07T08:11:03.386Z
solana,sol,Solana,131.91,73951009009,-0.8338960430058648,-0.62819,2316187734,2025-12-07T08:11:03.809Z
tron,trx,TRON,0.285969,27068051757,-0.002612843476673565,-0.90541,554159035,2025-12-07T08:11:02.863Z
staked-ether,steth,Lido Staked Ether,3033.82,26306791612,5.46,0.18021,18674297,2025-12-07T08:11:04.659Z
dogecoin,doge,Dogecoin,0.13941,22525593358,5.31e-05,0.03811,614794527,2025-12-07T08:11:09.852Z
cardano,ada,Cardano,0.416854,15271418037,0.00504618,1.22537,381526313,2025-12-07T08:11:08.736Z
figure-heloc,figr_heloc,Figure Heloc,1.029,14469471306,-0.009022000000000086,-0.86951,96951,2025-12-07T04:25:25.590Z
whitebit,wbt,WhiteBIT Coin,60.46,12961249804,-0.13143146118547833,-0.21693,45261509,2025-12-07T08:11:03.672Z
wrapped-steth,wsteth,Wrapped stETH,3704.9,12314929755,5.87,0.15877,23382371,2025-12-07T08:11:03.653Z
bitcoin-cash,bch,Bitcoin Cash,586.77,11729774559,10.52,1.8259,309497095,2025-12-07T08:11:07.967Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,89205,11146870391,-192.90127844757808,-0.21578,73029477,2025-12-07T08:11:04.154Z
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,3288.7,10735802880,2.52,0.07658,2006501,2025-12-07T08:11:03.499Z
chainlink,link,Chainlink,13.92,9698534741,0.33831,2.49013,431621013,2025-12-07T08:11:08.962Z
usds,usds,USDS,0.999602,9497438786,-4.467231906069e-05,-0.00447,5420212,2025-12-07T08:11:02.777Z
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),0.999996,8985569234,-0.000155760212025013,-0.01557,793027667,2025-12-07T08:11:08.272Z
leo-token,leo,LEO Token,9.65,8899758402,0.07955,0.83094,344618,2025-12-07T08:10:55.930Z
weth,weth,WETH,3033.53,8480070737,4.23,0.13976,65600796,2025-12-07T08:11:04.135Z
hyperliquid,hype,Hyperliquid,30.36,8246193120,-0.726983613476964,-2.33878,141636603,2025-12-07T08:10:54.643Z
stellar,xlm,Stellar,0.240178,7768268900,0.00082452,0.34448,71686216,2025-12-07T08:11:05.089Z
wrapped-eeth,weeth,Wrapped eETH,3285.4,7741306644,6.85,0.20899,12769248,2025-12-07T08:11:03.662Z
monero,xmr,Monero,385.89,7117780063,-6.665963847562011,-1.69811,102795554,2025-12-07T08:11:03.207Z
ethena-usde,usde,Ethena USDe,0.999257,6702244170,-2.9837481859252e-05,-0.00299,66914929,2025-12-07T08:11:10.419Z
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,89309,6480299554,-319.12705198235926,-0.35606,161698609,2025-12-07T08:11:09.531Z
litecoin,ltc,Litecoin,82.33,6308979530,2.14,2.67414,374845113,2025-12-07T08:10:58.695Z
sui,sui,Sui,1.57,5876556621,0.05271,3.46589,571291897,2025-12-07T08:11:05.389Z
avalanche-2,avax,Avalanche,13.39,5745781815,0.167757,1.26916,270956642,2025-12-07T08:11:07.503Z
hedera-hashgraph,hbar,Hedera,0.134414,5707509482,0.0011188,0.83934,91741627,2025-12-07T08:10:54.154Z
zcash,zec,Zcash,339.16,5572907031,-14.869113266875104,-4.2,658338908,2025-12-07T08:11:04.499Z
shiba-inu,shib,Shiba Inu,8.44e-06,4969941772,8.7091e-08,1.04321,101549405,2025-12-07T08:11:02.192Z
dai,dai,Dai,0.999488,4337241784,0.00075007,0.0751,64210258,2025-12-07T08:11:09.318Z
susds,susds,sUSDS,1.079,4214617899,-0.005983615295908518,-0.5516,3991516,2025-12-07T08:11:05.182Z
world-liberty-financial,wlfi,World Liberty Financial,0.148509,4048093477,-0.001192637354242271,-0.79668,67112042,2025-12-07T08:11:03.528Z
usdt0,usdt0,USDT0,1.0,3950166956,0.00023932,0.02393,91039901,2025-12-07T08:11:06.540Z
the-open-network,ton,Toncoin,1.58,3875576234,-2.3583540961214e-05,-0.00149,65193397,2025-12-07T08:11:08.355Z
crypto-com-chain,cro,Cronos,0.103405,3864332209,-0.000974796335319897,-0.93389,10773885,2025-12-07T08:11:09.122Z
paypal-usd,pyusd,PayPal USD,0.999724,3845780549,-2.2103227000692e-05,-0.00221,42800652,2025-12-07T08:11:07.818Z
ethena-staked-usde,susde,Ethena Staked USDe,1.21,3666677217,0.00013694,0.01134,26897495,2025-12-07T08:11:10.076Z
uniswap,uni,Uniswap,5.58,3514343870,0.083134,1.51365,182593800,2025-12-07T08:11:02.994Z
polkadot,dot,Polkadot,2.13,3493011923,0.02138999,1.01648,131708479,2025-12-07T08:11:09.611Z
mantle,mnt,Mantle,1.073,3487881635,0.00678985,0.63702,62831167,2025-12-07T08:10:59.185Z
aave,aave,Aave,189.27,2870437955,5.83,3.17963,168324159,2025-12-07T08:11:06.594Z
usd1-wlfi,usd1,USD1,0.999194,2725254927,5.958e-05,0.00596,224897052,2025-12-07T08:11:03.009Z
bittensor,tao,Bittensor,281.92,2705941428,3.89,1.39968,67462296,2025-12-07T08:11:07.828Z
bitget-token,bgb,Bitget Token,3.53,2472522183,0.052309,1.5032,46272944,2025-12-07T08:11:07.829Z
okb,okb,OKB,107.25,2252147644,2.31,2.20247,34000059,2025-12-07T08:11:05.691Z
canton-network,cc,Canton,0.062459,2238391721,0.00212107,3.51531,18493161,2025-12-07T08:11:08.293Z
tether-gold,xaut,Tether Gold,4211.46,2194215771,1.2,0.02857,211456398,2025-12-07T08:11:09.090Z
falcon-finance,usdf,Falcon USD,0.99947,2188787669,-0.000162250026976674,-0.01623,393231,2025-12-07T08:11:10.165Z
near,near,NEAR Protocol,1.71,2186934043,0.02218983,1.31805,142656134,2025-12-07T08:11:05.000Z
memecore,m,MemeCore,1.26,2152202412,-0.059975402499271135,-4.54845,12282900,2025-12-07T08:11:00.589Z
ethereum-classic,etc,Ethereum Classic,13.24,2047963638,0.060516,0.45901,41449898,2025-12-07T08:11:10.171Z
