id,symbol,name,current_price,market_cap,price_change_24h,price_change_pct_24h,total_volume,last_updated
bitcoin,btc,Bitcoin,89516,1783218764094,-95.87113571788359,-0.10699,21782196155,2025-12-07T12:48:12.968Z
ethereum,eth,Ethereum,3047.77,367316710535,13.74,0.45302,10384875936,2025-12-07T12:48:13.794Z
tether,usdt,Tether,1.0,185673550871,-0.000130619276234922,-0.01306,37977034956,2025-12-07T12:48:26.206Z
ripple,xrp,XRP,2.05,123313547853,0.0154336,0.7598,1745409620,2025-12-07T12:48:24.620Z
binancecoin,bnb,BNB,893.01,122928978244,7.89,0.89143,979733182,2025-12-07T12:48:11.591Z
usd-coin,usdc,USDC,0.999802,78106641916,-3.755796427085e-06,-0.00038,2271807593,2025-12-07T12:48:27.221Z
solana,sol,Solana,132.78,74377064773,-0.0762518589579031,-0.05739,2333296220,2025-12-07T12:48:24.892Z
tron,trx,TRON,0.285001,26981319181,-0.005090248543523301,-1.75471,496895189,2025-12-07T12:48:26.218Z
staked-ether,steth,Lido Staked Ether,3047.55,26369318935,12.92,0.42571,14627309,2025-12-07T12:48:24.776Z
dogecoin,doge,Dogecoin,0.139578,22534328087,-0.000138769420753804,-0.09932,599441080,2025-12-07T12:48:29.723Z
cardano,ada,Cardano,0.416539,15238240520,0.00190864,0.46032,385004391,2025-12-07T12:48:28.932Z
figure-heloc,figr_heloc,Figure Heloc,1.029,14469471306,0.0089239,0.87519,96951,2025-12-07T04:25:25.590Z
whitebit,wbt,WhiteBIT Coin,60.48,12964150571,-0.21200382026791686,-0.34932,46324171,2025-12-07T12:48:27.085Z
wrapped-steth,wsteth,Wrapped stETH,3722.07,12375486640,17.48,0.47177,22066416,2025-12-07T12:48:27.660Z
bitcoin-cash,bch,Bitcoin Cash,578.19,11533735361,-13.247711338572003,-2.23993,277061260,2025-12-07T12:48:28.169Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,89289,11143801733,-132.30973844484834,-0.14796,73513971,2025-12-07T12:48:28.573Z
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,3304.64,10770893359,14.77,0.44911,2114484,2025-12-07T12:48:27.682Z
chainlink,link,Chainlink,13.85,9633974608,0.080931,0.58798,421704628,2025-12-07T12:48:29.045Z
usds,usds,USDS,0.999737,9503579607,-0.000106750985778725,-0.01068,12473822,2025-12-07T12:48:26.283Z
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),1.0,8986340472,0.00024426,0.02442,967399731,2025-12-07T12:48:28.443Z
leo-token,leo,LEO Token,9.63,8880532986,0.03388773,0.35313,347476,2025-12-07T12:48:21.305Z
weth,weth,WETH,3046.13,8486719139,12.34,0.40681,131115070,2025-12-07T12:48:27.756Z
hyperliquid,hype,Hyperliquid,29.92,8092737618,-0.7281688199774798,-2.37628,207425745,2025-12-07T12:48:20.571Z
stellar,xlm,Stellar,0.240827,7777921032,-5.8006365054569e-05,-0.02408,73295972,2025-12-07T12:48:25.316Z
wrapped-eeth,weeth,Wrapped eETH,3301.21,7760425880,16.67,0.50766,13818634,2025-12-07T12:48:27.434Z
monero,xmr,Monero,378.83,6987074270,-13.234893251206131,-3.3757,108357585,2025-12-07T12:48:22.176Z
ethena-usde,usde,Ethena USDe,0.999927,6703407946,0.00041781,0.0418,77089936,2025-12-07T12:48:29.950Z
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,89423,6476570607,-279.391749655726,-0.31147,159344725,2025-12-07T12:48:29.000Z
litecoin,ltc,Litecoin,82.06,6280718258,0.867512,1.06851,368461602,2025-12-07T12:48:21.737Z
sui,sui,Sui,1.58,5916157017,0.064444,4.24048,561233787,2025-12-07T12:48:25.635Z
avalanche-2,avax,Avalanche,13.38,5741429743,0.161433,1.2213,256068726,2025-12-07T12:48:27.321Z
zcash,zec,Zcash,346.97,5687566317,7.3,2.15009,677892323,2025-12-07T12:48:28.140Z
hedera-hashgraph,hbar,Hedera,0.13398,5677830408,0.00128906,0.97147,92595020,2025-12-07T12:48:20.426Z
shiba-inu,shib,Shiba Inu,8.4e-06,4947094384,-1.93919048864e-07,-2.25551,87885021,2025-12-07T12:48:24.724Z
dai,dai,Dai,0.999466,4341732931,0.00022256,0.02227,57416493,2025-12-07T12:48:29.521Z
susds,susds,sUSDS,1.078,4207035618,0.0006223,0.05775,652429,2025-12-07T12:48:25.143Z
world-liberty-financial,wlfi,World Liberty Financial,0.147262,4010411082,-0.001803574641954631,-1.20992,69508505,2025-12-07T12:48:27.528Z
usdt0,usdt0,USDT0,1.0,3954268612,0.00024912,0.02491,93110830,2025-12-07T12:48:26.988Z
the-open-network,ton,Toncoin,1.6,3904258185,0.02338446,1.48653,64695737,2025-12-07T12:48:25.806Z
crypto-com-chain,cro,Cronos,0.10328,3854832556,-0.000875540148295995,-0.84061,11443433,2025-12-07T12:48:29.178Z
paypal-usd,pyusd,PayPal USD,0.999618,3845520371,-0.000300085580849818,-0.03001,49327561,2025-12-07T12:48:23.321Z
ethena-staked-usde,susde,Ethena Staked USDe,1.21,3666643111,7.069e-05,0.00585,14904262,2025-12-07T12:48:29.889Z
mantle,mnt,Mantle,1.097,3564137303,0.02699959,2.52222,64403000,2025-12-07T12:48:21.711Z
uniswap,uni,Uniswap,5.56,3500309340,0.052028,0.94495,197126477,2025-12-07T12:48:26.517Z
polkadot,dot,Polkadot,2.1,3444704435,-0.006990524567909162,-0.33192,135324206,2025-12-07T12:48:23.626Z
aave,aave,Aave,188.67,2860444562,4.27,2.31663,179333079,2025-12-07T12:48:26.110Z
usd1-wlfi,usd1,USD1,0.998999,2725055567,-0.000111635095838114,-0.01117,203462922,2025-12-07T12:48:26.518Z
bittensor,tao,Bittensor,281.43,2692624293,5.11,1.85068,67330984,2025-12-07T12:48:28.647Z
bitget-token,bgb,Bitget Token,3.55,2485099755,0.02249461,0.63693,45433829,2025-12-07T12:48:27.955Z
okb,okb,OKB,108.08,2265905262,2.27,2.14506,34126567,2025-12-07T12:48:22.712Z
canton-network,cc,Canton,0.062121,2226218002,-0.002715446282639547,-4.18818,14129786,2025-12-07T12:48:28.409Z
memecore,m,MemeCore,1.28,2194585382,-0.06910155210509461,-5.10532,12461457,2025-12-07T12:48:21.904Z
tether-gold,xaut,Tether Gold,4191.59,2188407449,-18.584767814490988,-0.44142,210186647,2025-12-07T12:48:25.518Z
falcon-finance,usdf,Falcon USD,0.999379,2188183884,0.00218579,0.21919,382134,2025-12-07T12:48:30.040Z
near,near,NEAR Protocol,1.69,2168189387,-0.016983509274252073,-0.994,132074051,2025-12-07T12:48:22.640Z
ethereum-classic,etc,Ethereum Classic,13.13,2029455206,-0.13690149298933996,-1.03165,42765893,2025-12-07T12:48:30.124Z
