time,intersection,lat,lon,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
2025-12-06T06:01:47.492509,Tràng Tiền - Hàng Bài,21.0285,105.8542,16,24,306,204,1,False
2025-12-06T06:01:47.492509,Cầu Giấy - Xuân Thủy,21.035,105.791,19,32,441,261,1,False
2025-12-06T06:01:47.492509,Ngã Tư Sở,21.0127,105.8192,13,31,1024,429,1,False
2025-12-06T06:01:47.492509,Hai Bà Trưng - Lò Đúc,20.998,105.8433,22,38,1621,938,1,False
2025-12-06T06:01:47.492509,Ngã Tư Hàng Bài - Lê Thạch,21.028,105.853,0,0,0,0,0.5,True
2025-12-06T06:01:47.492509,Ngã Tư Phạm Ngọc Thạch - Xã Đàn,21.012,105.831,26,37,281,197,1,False
2025-12-06T06:01:47.492509,Ngã Tư Nguyễn Trãi - Khuất Duy Tiến,20.9985,105.8155,17,35,13,6,0.945597,False
2025-12-06T06:01:47.492509,Ngã Tư Trần Phú - Láng Hạ,21.0225,105.818,25,31,364,293,0.996391,False
2025-12-06T06:01:47.492509,Ngã Tư Giải Phóng - Đại Cồ Việt,21.001,105.851,21,27,325,253,1,False
2025-12-06T06:01:47.492509,Ngã Tư Thanh Nhàn - Bạch Mai,21.0025,105.855,21,27,325,253,1,False
2025-12-06T06:01:47.492509,Ngã Tư Hàng Khay - Hàng Bài,21.0286,105.8545,12,24,408,204,1,False
2025-12-06T06:01:47.492509,Ngã Tư Láng - Thái Thịnh,21.016,105.8185,14,30,898,419,1,False
2025-12-06T06:01:47.492509,Ngã Tư Cầu Giấy - Duy Tân,21.038,105.787,22,36,374,228,1,False
2025-12-06T06:01:47.492509,Ngã Tư Xuân Thủy - Nguyễn Phong Sắc,21.036,105.792,22,36,374,228,1,False
2025-12-06T06:01:47.492509,Ngã Tư Nguyễn Văn Cừ - Long Biên,21.0445,105.8935,43,53,562,456,1,False
2025-12-06T06:01:47.492509,Ngã Tư Hồ Tùng Mậu - Phạm Văn Đồng,21.0505,105.79,24,33,379,276,1,False
2025-12-06T06:01:47.492509,Ngã Tư Mai Dịch - Cầu Giấy,21.0355,105.7865,19,33,441,253,1,False
2025-12-06T06:01:47.492509,Ngã Tư Hoàng Quốc Việt - Phạm Văn Đồng,21.0565,105.791,15,37,195,79,0.802077,False
2025-12-06T06:01:47.492509,Ngã Tư Vọng - Giải Phóng,21.0015,105.857,19,31,274,168,1,False
2025-12-06T06:01:47.492509,Ngã Tư Kim Liên - Xã Đàn,21.014,105.83,15,28,763,408,1,False
