time,intersection,lat,lon,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
2025-12-06T02:19:25.551262,Tràng Tiền - Hàng Bài,21.0285,105.8542,17,24,288,204,1,False
2025-12-06T02:19:25.551262,Cầu Giấy - Xuân Thủy,21.035,105.791,20,34,419,246,1,False
2025-12-06T02:19:25.551262,Ngã Tư Sở,21.0127,105.8192,17,30,783,443,1,False
2025-12-06T02:19:25.551262,Hai Bà Trưng - Lò Đúc,20.998,105.8433,23,37,1550,964,1,False
2025-12-06T02:19:25.551262,Ngã Tư Hàng Bài - Lê Thạch,21.028,105.853,0,0,0,0,0.5,True
2025-12-06T02:19:25.551262,Ngã Tư Phạm Ngọc Thạch - Xã Đàn,21.012,105.831,26,37,281,197,1,False
2025-12-06T02:19:25.551262,Ngã Tư Nguyễn Trãi - Khuất Duy Tiến,20.9985,105.8155,14,36,15,6,0.94,False
2025-12-06T02:19:25.551262,Ngã Tư Trần Phú - Láng Hạ,21.0225,105.818,23,32,395,284,1,False
2025-12-06T02:19:25.551262,Ngã Tư Giải Phóng - Đại Cồ Việt,21.001,105.851,17,28,402,244,1,False
2025-12-06T02:19:25.551262,Ngã Tư Thanh Nhàn - Bạch Mai,21.0025,105.855,17,28,402,244,1,False
2025-12-06T02:19:25.551262,Ngã Tư Hàng Khay - Hàng Bài,21.0286,105.8545,17,24,288,204,1,False
2025-12-06T02:19:25.551262,Ngã Tư Láng - Thái Thịnh,21.016,105.8185,16,30,786,419,1,False
2025-12-06T02:19:25.551262,Ngã Tư Cầu Giấy - Duy Tân,21.038,105.787,24,36,343,228,1,False
2025-12-06T02:19:25.551262,Ngã Tư Xuân Thủy - Nguyễn Phong Sắc,21.036,105.792,24,36,343,228,1,False
2025-12-06T02:19:25.551262,Ngã Tư Nguyễn Văn Cừ - Long Biên,21.0445,105.8935,38,54,636,447,1,False
2025-12-06T02:19:25.551262,Ngã Tư Hồ Tùng Mậu - Phạm Văn Đồng,21.0505,105.79,23,32,396,284,1,False
2025-12-06T02:19:25.551262,Ngã Tư Mai Dịch - Cầu Giấy,21.0355,105.7865,20,34,419,246,1,False
2025-12-06T02:19:25.551262,Ngã Tư Hoàng Quốc Việt - Phạm Văn Đồng,21.0565,105.791,25,36,117,81,0.981355,False
2025-12-06T02:19:25.551262,Ngã Tư Vọng - Giải Phóng,21.0015,105.857,14,30,373,174,1,False
2025-12-06T02:19:25.551262,Ngã Tư Kim Liên - Xã Đàn,21.014,105.83,17,29,673,394,1,False
