time,temperature_c
2025-12-05T00:00,19.9
2025-12-05T01:00,20.1
2025-12-05T02:00,20.3
2025-12-05T03:00,20.4
2025-12-05T04:00,20.1
2025-12-05T05:00,19.9
2025-12-05T06:00,20.0
2025-12-05T07:00,19.8
2025-12-05T08:00,19.7
2025-12-05T09:00,19.4
2025-12-05T10:00,19.1
2025-12-05T11:00,18.7
2025-12-05T12:00,19.0
2025-12-05T13:00,18.8
2025-12-05T14:00,18.8
2025-12-05T15:00,18.7
2025-12-05T16:00,18.5
2025-12-05T17:00,18.5
2025-12-05T18:00,18.3
2025-12-05T19:00,18.3
2025-12-05T20:00,18.3
2025-12-05T21:00,18.1
2025-12-05T22:00,18.1
2025-12-05T23:00,18.0
2025-12-06T00:00,17.9
2025-12-06T01:00,18.4
2025-12-06T02:00,19.2
2025-12-06T03:00,20.0
2025-12-06T04:00,20.9
2025-12-06T05:00,22.0
2025-12-06T06:00,22.6
2025-12-06T07:00,22.6
2025-12-06T08:00,22.7
2025-12-06T09:00,22.6
2025-12-06T10:00,22.0
2025-12-06T11:00,21.0
2025-12-06T12:00,20.4
2025-12-06T13:00,20.0
2025-12-06T14:00,19.5
2025-12-06T15:00,19.0
2025-12-06T16:00,18.6
2025-12-06T17:00,18.4
2025-12-06T18:00,18.2
2025-12-06T19:00,18.2
2025-12-06T20:00,18.1
2025-12-06T21:00,18.1
2025-12-06T22:00,18.1
2025-12-06T23:00,18.3
