id,title,description,price,price_million,area_m2,price_per_m2,region,district,ward,street,lat,lng,property_type,category,post_time,images_count,crawled_at
129512960,"Chính chủ gửi bán nhanh nhà 35m, nhỉnh 6 tỷ, gần hồ điều hòa Định công","HIẾM! Trong phân khúc tầm tiền có 1 không 2
👉NHÀ DÂN XÂY CHẮC CHẮN 4 TẦNG KCBT - NHÀ MẶT NGÕ THÔNG - 2 THOÁNG TRƯỚC SAU, CÓ THỂ KINH DOANH NHỎ, (ONLINE)
👉DT 35m, full công năng 
👉Giá nhỉnh 6.88tỷ
📕 Sổ đỏ sẵn giao dịch 
🌿Tiện ích xung quanh không thiếu thứ gì, chợ, trường học các cấp vài bước chân,
👉 50m ra hồ điều hoà lộng gió thoáng mát, tập thể thao
LH ngay Em Duyên xem nhà gặp chủ",6880000000,6880.0,80,86000000.0,Hà Nội,Quận Hoàng Mai,Phường Định Công,Phố Định Công,20.983276,105.83594,,1020,1765096922000,,2025-12-07T23:29:35.861138+00:00
129533954,"Bán CCMN Đẹp Xịn- Sổ Hồng Từng Căn, Chính Kinh Nguyễn Trãi cạnh Royal","🩷 Bán CCMN Siêu Mới Thoáng Đẹp, Sổ Hồng Từng Căn Trao Tay. Full nội thất xịn decor

✅Ngay Ga Thượng Đình cạnh Royal City, Gần mặt phố chợ Lớn. Cạnh Đh KHTN, Ngã 4 Sở. Ngập tràn tiện ích

✅ Dt 50m 2ngủ 1wc 1ban công hướng Nam siêu thoáng đẹp có bàn trà

✅ Toà rất mới, căn hộ tầng trung 5/8, căn góc mẫu trong toà. Thang máy bảo vệ an ninh tốt

✅Full Nội Thất Xịn Xò đẹp như CC thương mại. Gia đình chỉ việc xách vali vào ở

✅ Sổ Hồng 2025 trao tay. Mua bán công chứng vi bằng nhanh gọn

🤝Giá thiện chí 2,xxxtr có tl gia lộc sâu

☎️Lh *** (zalo, mess,tiktok..) lấy video và mua gía chính chủ",2590000000,2590.0,77,33636363.63636363,Hà Nội,Quận Thanh Xuân,Phường Nhân Chính,Phố Chính Kinh,21.000172,105.81107,,1010,1765097057000,,2025-12-07T23:29:35.861138+00:00
129499139,"Ô TÔ 7 CHỖ NGỦ TRONG NHÀ,CÓ THỂ LÀM THANG MÁY-MẶT NGÕ OTO TRÁNH","Chủ nhà là Đại tá quân đội về hưu,đất phân lô cán bộ, pháp lý sạch,1 chủ từ khi xây đến nay.nhà có thể thiết kế thêm thang máy.
cơ hội hiếm có khó tìm.các bác ib e để xem nhà trực tiếp",19000000000,19000.0,77,246753246.75324675,Hà Nội,Quận Thanh Xuân,Phường Khương Trung,Phố Tô Vĩnh Diện,20.999704,105.820984,,1020,1765093444000,,2025-12-07T23:29:35.861138+00:00
129540615,Nhà Hoàng liệt-45m2 -sổ  đỏ-giá 5ty350,"NGÕ THẲNG - GẦN PHỐ - NHÀ CHỦ ĐÃ SỬA SẠCH ĐẸP - GIÁ CẠNH TRANH KHU VỰC - BÁN ĐẤT TẶNG NHÀ - 123 TRIỆU/M2.
Nhà chủ nhà xây dựng chắc chắn, đã sửa sạch đẹp. Đang cho người quen thuê
.+ Tầng 1: 1 phòng ngủ + phòng khách + để xe và vệ sinh + gian bếp
.+ Tầng 2: 1 phòng ngủ và phòng làm việc.

Sổ đỏ sẵn sàng giao dịch.",5350000000,5350.0,80,66875000.0,Hà Nội,Quận Hoàng Mai,Phường Hoàng Liệt,Đường Tựu Liệt,20.953613,105.83676,,1020,1765126251000,,2025-12-07T23:29:35.861138+00:00
129538567,"CHO THUÊ NHÀ ĐẸP NGUYÊN CĂN PHỐ THƯỢNG THANH, SIÊU KINH DOANH, 20tr/th","+ Vị trí mặt : Phố Thượng Thanh
, đường rộng ô tô tránh
+ Mặt tiền : 5m
+ Diện tích : 70m
+ Số tầng : 3 tầng 
+  Thiết kế : cầu thang giữa
- T1 : thông sàn,kinh doanh, Vs
- T2: chia 2 phòng, Vs
- T3 : chia 3 phòng, Vs
+ Phù hợp: KD, Vp Cty, Trụ sở, VP đại diện, Phòng khám....trung tâm
+ nội thất : đủ điều hoà và nóng lạnh các tầng, giường tủ....
+ Giá : 20tr/tháng( cọc 1 đóng 3)
🔥Hợp đồng lâu dài, không cho thuê nhà hàng ăn.
🔥ưu tiên k thuê văn phòng, hợp đồng lâu dài.",20000000,20.0,81,246913.5802469136,Hà Nội,Quận Long Biên,Phường Thượng Thanh,Thượng Thanh,21.065502,105.88831,,1020,1765113789000,,2025-12-07T23:29:35.861138+00:00
128730121,Bán nhà Mặt phố Pháo Đài Láng Hà Nội,"Nhà mặt tiền phố Pháo Đài Láng (1 mặt tiền, 2 mặt ngõ), P. Láng thượng, Q. Đống đa( nay là p.Láng), Hà Nội. 
• Vị trí cực kỳ sầm uất, tập trung nhiều công ty, trường đại học, bệnh viện, ngân hàng… Phù hợp cho hộ gia đình ở kết hợp kinh doanh, hoặc cho thuê căn hộ khép kín độc lập.
• Vị trí lý tưởng để xây dựng tòa nhà cho thuê, khai thác dòng tiền ổn định từ sinh viên, nhân viên văn phòng. 
• Khu vực có nhu cầu thuê nhà cao, đảm bảo lợi nhuận lâu dài. 
• Cách sân bay Nội Bài 30km, gần các ga Metro tương lai (Cầu Giấy, Kim Mã, Liễu Giai – Nguyễn Chí Thanh).
 • Đặc biệt: Khu vực cao ráo, không ngập lụt, an toàn tuyệt đối trong mùa mưa. 
Sổ đỏ chính chủ, pháp lý rõ ràng, không tranh chấp. 
• Giá bán: 390 triệu/m² (tổng giá khoảng 37,2 tỷ đồng). Giá trị tương xứng với vị trí đắc địa và tiềm năng khai thác. 
• Chủ nhà: Bác Tuấn - SĐT: ***
ƯU TIÊN KHÁCH MUA - KHÔNG TIẾP TRUNG GIAN/ MÔI GIỚI
Khách xem nhà vui lòng nhắn tin hẹn trước khi đến (hạn chế gọi điện vì tôi còn bận việc riêng)",37200000000,37200.0,75,496000000.0,Hà Nội,Quận Đống Đa,Phường Láng Thượng,Phố Pháo Đài Láng,21.019154,105.80507,,1020,1765114332000,,2025-12-07T23:29:35.861138+00:00
127880718,Cho thuê CHDV full đồ 02 ngủ 01 khách ở ngay Thung lũng hoa Hồ Tây,"Cho thuê CHDV đầy đủ đồ 02 ngủ 01 khách 01 WC ở vị trí cực kỳ đắc địa view Hồ Tây cực đẹp
- Vị trí: Trung tâm Hồ Tây, ngay gần thung lũng hoa Hồ Tây, rất nhiều nhà hàng Tây xung quanh Tô Ngọc Vân, vị trí cực kỳ đắc địa, gần Hồ Tây đi bộ, rất gần di chuyển ra sân bay Nội bài, Phố cổ.
- Chợ Nhật Tân, siêu thị, trường học, nhà hàng Tây, coffee rất gần: Ở Xuân Diệu, Tô Ngọc Vân, Đặng Thai Mai,...
- Khu vực vô cùng yên tĩnh, khí hậu trong lành, gần do sát hồ.
- Các căn hộ rộng 85m2: 02 ngủ, 01 khách, 01 Wc, 02 ban công view hồ có rất nhiều ánh sáng tự nhiên vào phòng.
- Nội thất được trang bị đầy đủ theo chuẩn 3 sao: Giường, đệm lò xo vô cùng êm, tủ bàn, sofa, smart Tv, tủ lạnh, lò vi sóng, lò nướng, full bếp đủ đồ nấu ăn, chăn ga gối, máy giặt máy sấy,.. Chỉ việc vào ở. Tất cả đồ đạc mới tinh.
- Tự do, có free dọn phòng 2 lần/1 tuần, free internet.
- Có thể thuê linh hoạt: Theo ngày, theo tuần, theo tháng, năm.
- Là nơi lý tưởng để ở, nghỉ ngơi cho các cặp đôi ở tại Hồ Tây.
- Bãi gửi xe ô tô gần đó.
- Giá căn hộ cho thuê theo tháng: từ 18 tr/tháng.
- Liên hệ chính chủ để đặt phòng: Ngoài ra mình có nhiều các căn hộ khác mới khác nữa. Hãy gọi cho mình để xem!",18000000,18.0,78,230769.2307692308,Hà Nội,Quận Tây Hồ,Phường Nhật Tân,Ngõ 399 Âu Cơ,21.075655,105.82213,,1010,1765126262000,,2025-12-07T23:29:35.861138+00:00
125600270,Quá hợp lý -5 tầng mới đẹp Tôn Đức Thắng 32m2- ô tô cách 20m-sdcc,"Chính chủ anh trai tôi 
cần bán nhà Tôn Đức Thắng - 32m2 nhà đẹp giá hợp lý nhất khu Đống Đa. 

Căn nhà hội tụ nhiều ưu điểm:
- Cách phố 60m. 
_ô tô đỗ cổng , 20m ra mặt ngõ kinh doanh đông đúc.
_ Bán kinh 100m : trường học các cấp, siêu thị, chợ lớn , 2 hồ điều hoà thoáng mát.
* Vị trí đẹp hội tụ nhiều tiện ích để an cư lạc nghiệp. 

Nhà chủ bán đồ nội thất, nhà thiết kế 5 tầng sửa sang lại mới đẹp.
+ Gồm 3 ngủ, wc phòng nào có cửa sổ rộng
+Phòng thờ, sân phơi rộng thoáng. 
+ Đã đủ đồ nội thất để lại toàn bộ cho khách thiện chí.

Sổ đỏ vuông đẹp nở hậu, chủ để nhà sang tên nhanh. 
Giá còn thương lượng cho khách thiện chí. 

Giá chào 4.68 tỷ còn bớt.
Không có căn thứ 2, các bác nhanh tay nhé.

Lh em ngay: Oanh Nguyễn để được xem nhà, tư vấn, hỗ trợ nhiệt tình miễn phí.
Cảm ơn đã đọc tin.",4680000000,4680.0,75,62400000.0,Hà Nội,Quận Đống Đa,Phường Hàng Bột,Phố Tôn Đức Thắng,21.023514,105.83227,,1020,1765123540000,,2025-12-07T23:29:35.861138+00:00
129522704,🔥SIÊU PHẨM GIÁ CHỈ HƠN 5 TỶ VẠN PHÚC - HÀ ĐÔNG,"PHÂN LÔ THẲNG – NHÀ MỚI 5 TẦNG – 3PN – CÁCH Ô TÔ 20M 🚗
Nhà xây mới, full nội thất hiện đại, vào ở ngay.
T1: Khách + bếp
T2-3-4: mỗi tầng 1 ngủ + 1 WC. 
T5: phòng thờ + sân phơi.
Sổ đỏ vuông vắn, pháp lý rõ ràng, sẵn sàng giao dịch.
Chủ thiện chí bán – xem nhà 24/24.",5450000000,5450.0,86,63372093.02325582,Hà Nội,Quận Hà Đông,Phường Vạn Phúc,Đường Ngô Quyền,20.970825,105.766594,,1020,1765094824000,,2025-12-07T23:29:35.861138+00:00
129540627,"Lô góc Lý Nam Đế, 60m2, 2 ngủ, full nội thất đẹp. Sổ đỏ. Khu hiếm nhà","- Ngõ nông, ngay gần mặt phố Lý Nam Đế. Trung tâm phố cổ.
- 3 phút sang hồ Gươm, khu vực dân trí cao, chủ yếu là cán bộ, công chức sinh sống
- 60m2, mặt tiền 6m, 2 thoáng vĩnh viễn. Tổng: 1 phòng khách, bếp, WC, 2 ngủ, ban công rộng thoáng. Tặng toàn bộ nội thất hiện đại cho khách.
- Sân để xe rộng, bảo vệ trông 24/24
- Sổ đỏ chính chủ. Khu vực hiếm nhà bán
Liên hệ em Trường *** chuyên tập thể giá rẻ",5180000000,5180.0,73,70958904.10958904,Hà Nội,Quận Hoàn Kiếm,Phường Hàng Mã,Lý Nam Đế,21.03759,105.84591,,1010,1765126408000,,2025-12-07T23:29:35.861138+00:00
