time,temperature_c
2025-12-06T00:00,17.9
2025-12-06T01:00,18.4
2025-12-06T02:00,19.1
2025-12-06T03:00,20.0
2025-12-06T04:00,21.3
2025-12-06T05:00,22.6
2025-12-06T06:00,22.8
2025-12-06T07:00,22.6
2025-12-06T08:00,22.7
2025-12-06T09:00,22.6
2025-12-06T10:00,21.9
2025-12-06T11:00,20.9
2025-12-06T12:00,20.7
2025-12-06T13:00,20.2
2025-12-06T14:00,19.8
2025-12-06T15:00,19.5
2025-12-06T16:00,19.2
2025-12-06T17:00,19.0
2025-12-06T18:00,19.2
2025-12-06T19:00,19.1
2025-12-06T20:00,19.0
2025-12-06T21:00,18.9
2025-12-06T22:00,18.9
2025-12-06T23:00,19.0
2025-12-07T00:00,19.2
2025-12-07T01:00,19.7
2025-12-07T02:00,20.6
2025-12-07T03:00,21.4
2025-12-07T04:00,22.0
2025-12-07T05:00,23.3
2025-12-07T06:00,24.1
2025-12-07T07:00,24.7
2025-12-07T08:00,24.9
2025-12-07T09:00,24.7
2025-12-07T10:00,23.9
2025-12-07T11:00,23.1
2025-12-07T12:00,21.9
2025-12-07T13:00,21.1
2025-12-07T14:00,20.5
2025-12-07T15:00,20.1
2025-12-07T16:00,20.0
2025-12-07T17:00,19.9
2025-12-07T18:00,19.9
2025-12-07T19:00,19.6
2025-12-07T20:00,19.4
2025-12-07T21:00,19.2
2025-12-07T22:00,19.3
2025-12-07T23:00,19.2
