city,latitude,longitude,time,temperature_c
Hải Phòng,20.86514,106.6823,2025-12-11T00:00,20.1
Hải Phòng,20.86514,106.6823,2025-12-11T01:00,19.8
Hải Phòng,20.86514,106.6823,2025-12-11T02:00,19.7
Hải Phòng,20.86514,106.6823,2025-12-11T03:00,19.7
Hải Phòng,20.86514,106.6823,2025-12-11T04:00,19.7
Hải Phòng,20.86514,106.6823,2025-12-11T05:00,19.6
Hải Phòng,20.86514,106.6823,2025-12-11T06:00,19.5
Hải Phòng,20.86514,106.6823,2025-12-11T07:00,19.5
Hải Phòng,20.86514,106.6823,2025-12-11T08:00,19.7
Hải Phòng,20.86514,106.6823,2025-12-11T09:00,19.9
Hải Phòng,20.86514,106.6823,2025-12-11T10:00,20.1
Hải Phòng,20.86514,106.6823,2025-12-11T11:00,20.1
Hải Phòng,20.86514,106.6823,2025-12-11T12:00,20.1
Hải Phòng,20.86514,106.6823,2025-12-11T13:00,20.1
Hải Phòng,20.86514,106.6823,2025-12-11T14:00,20.2
Hải Phòng,20.86514,106.6823,2025-12-11T15:00,20.3
Hải Phòng,20.86514,106.6823,2025-12-11T16:00,20.2
Hải Phòng,20.86514,106.6823,2025-12-11T17:00,19.7
Hải Phòng,20.86514,106.6823,2025-12-11T18:00,19.0
Hải Phòng,20.86514,106.6823,2025-12-11T19:00,18.5
Hải Phòng,20.86514,106.6823,2025-12-11T20:00,18.2
Hải Phòng,20.86514,106.6823,2025-12-11T21:00,18.0
Hải Phòng,20.86514,106.6823,2025-12-11T22:00,17.9
Hải Phòng,20.86514,106.6823,2025-12-11T23:00,17.9
Hải Phòng,20.86514,106.6823,2025-12-12T00:00,18.0
Hải Phòng,20.86514,106.6823,2025-12-12T01:00,18.1
Hải Phòng,20.86514,106.6823,2025-12-12T02:00,18.1
Hải Phòng,20.86514,106.6823,2025-12-12T03:00,18.2
Hải Phòng,20.86514,106.6823,2025-12-12T04:00,18.3
Hải Phòng,20.86514,106.6823,2025-12-12T05:00,18.3
Hải Phòng,20.86514,106.6823,2025-12-12T06:00,18.3
Hải Phòng,20.86514,106.6823,2025-12-12T07:00,18.4
Hải Phòng,20.86514,106.6823,2025-12-12T08:00,18.6
Hải Phòng,20.86514,106.6823,2025-12-12T09:00,18.8
Hải Phòng,20.86514,106.6823,2025-12-12T10:00,19.0
Hải Phòng,20.86514,106.6823,2025-12-12T11:00,19.3
Hải Phòng,20.86514,106.6823,2025-12-12T12:00,19.5
Hải Phòng,20.86514,106.6823,2025-12-12T13:00,19.7
Hải Phòng,20.86514,106.6823,2025-12-12T14:00,19.1
Hải Phòng,20.86514,106.6823,2025-12-12T15:00,19.1
Hải Phòng,20.86514,106.6823,2025-12-12T16:00,19.2
Hải Phòng,20.86514,106.6823,2025-12-12T17:00,19.3
Hải Phòng,20.86514,106.6823,2025-12-12T18:00,19.4
Hải Phòng,20.86514,106.6823,2025-12-12T19:00,19.6
Hải Phòng,20.86514,106.6823,2025-12-12T20:00,19.7
Hải Phòng,20.86514,106.6823,2025-12-12T21:00,19.9
Hải Phòng,20.86514,106.6823,2025-12-12T22:00,20.0
Hải Phòng,20.86514,106.6823,2025-12-12T23:00,20.0
Hải Phòng,20.86514,106.6823,2025-12-13T00:00,19.9
Hải Phòng,20.86514,106.6823,2025-12-13T01:00,19.9
Hải Phòng,20.86514,106.6823,2025-12-13T02:00,19.8
Hải Phòng,20.86514,106.6823,2025-12-13T03:00,19.6
Hải Phòng,20.86514,106.6823,2025-12-13T04:00,19.5
Hải Phòng,20.86514,106.6823,2025-12-13T05:00,19.5
Hải Phòng,20.86514,106.6823,2025-12-13T06:00,19.5
Hải Phòng,20.86514,106.6823,2025-12-13T07:00,19.6
Hải Phòng,20.86514,106.6823,2025-12-13T08:00,19.8
Hải Phòng,20.86514,106.6823,2025-12-13T09:00,20.0
Hải Phòng,20.86514,106.6823,2025-12-13T10:00,20.2
Hải Phòng,20.86514,106.6823,2025-12-13T11:00,20.3
Hải Phòng,20.86514,106.6823,2025-12-13T12:00,20.3
Hải Phòng,20.86514,106.6823,2025-12-13T13:00,20.3
Hải Phòng,20.86514,106.6823,2025-12-13T14:00,20.2
Hải Phòng,20.86514,106.6823,2025-12-13T15:00,20.2
Hải Phòng,20.86514,106.6823,2025-12-13T16:00,20.1
Hải Phòng,20.86514,106.6823,2025-12-13T17:00,20.1
Hải Phòng,20.86514,106.6823,2025-12-13T18:00,20.2
Hải Phòng,20.86514,106.6823,2025-12-13T19:00,20.0
Hải Phòng,20.86514,106.6823,2025-12-13T20:00,19.4
Hải Phòng,20.86514,106.6823,2025-12-13T21:00,18.7
Hải Phòng,20.86514,106.6823,2025-12-13T22:00,18.1
Hải Phòng,20.86514,106.6823,2025-12-13T23:00,17.7
