time,temperature_c
2025-12-04T00:00,18.8
2025-12-04T01:00,19.3
2025-12-04T02:00,20.0
2025-12-04T03:00,20.8
2025-12-04T04:00,21.5
2025-12-04T05:00,22.3
2025-12-04T06:00,23.2
2025-12-04T07:00,23.3
2025-12-04T08:00,23.5
2025-12-04T09:00,23.3
2025-12-04T10:00,22.7
2025-12-04T11:00,22.0
2025-12-04T12:00,21.9
2025-12-04T13:00,21.2
2025-12-04T14:00,20.6
2025-12-04T15:00,20.2
2025-12-04T16:00,20.0
2025-12-04T17:00,19.8
2025-12-04T18:00,19.9
2025-12-04T19:00,19.8
2025-12-04T20:00,19.9
2025-12-04T21:00,19.9
2025-12-04T22:00,19.9
2025-12-04T23:00,19.9
2025-12-05T00:00,19.9
2025-12-05T01:00,20.1
2025-12-05T02:00,20.3
2025-12-05T03:00,20.4
2025-12-05T04:00,20.1
2025-12-05T05:00,19.9
2025-12-05T06:00,19.7
2025-12-05T07:00,19.8
2025-12-05T08:00,19.6
2025-12-05T09:00,19.4
2025-12-05T10:00,19.0
2025-12-05T11:00,18.6
2025-12-05T12:00,18.3
2025-12-05T13:00,18.2
2025-12-05T14:00,18.0
2025-12-05T15:00,17.9
2025-12-05T16:00,17.8
2025-12-05T17:00,17.7
2025-12-05T18:00,17.7
2025-12-05T19:00,17.7
2025-12-05T20:00,17.7
2025-12-05T21:00,17.7
2025-12-05T22:00,17.6
2025-12-05T23:00,17.3
