time,temperature_c
2026-01-08T18:00:00.000+07:00,11.8
2026-01-08T19:00:00.000+07:00,11.5
2026-01-08T20:00:00.000+07:00,11.2
2026-01-08T21:00:00.000+07:00,11.1
2026-01-08T22:00:00.000+07:00,10.7
2026-01-08T23:00:00.000+07:00,10.3
2026-01-09T00:00:00.000+07:00,10.7
2026-01-09T01:00:00.000+07:00,12.6
2026-01-09T02:00:00.000+07:00,15.3
2026-01-09T03:00:00.000+07:00,17.5
2026-01-09T04:00:00.000+07:00,18.8
2026-01-09T05:00:00.000+07:00,19.7
2026-01-09T06:00:00.000+07:00,20.3
2026-01-09T07:00:00.000+07:00,20.7
2026-01-09T08:00:00.000+07:00,20.7
2026-01-09T09:00:00.000+07:00,20.3
2026-01-09T10:00:00.000+07:00,19.4
2026-01-09T11:00:00.000+07:00,18.1
2026-01-09T12:00:00.000+07:00,16.8
2026-01-09T13:00:00.000+07:00,15.9
2026-01-09T14:00:00.000+07:00,15.1
2026-01-09T15:00:00.000+07:00,14.3
2026-01-09T16:00:00.000+07:00,13.5
2026-01-09T17:00:00.000+07:00,12.9
2026-01-09T18:00:00.000+07:00,12.2
2026-01-09T19:00:00.000+07:00,11.4
2026-01-09T20:00:00.000+07:00,10.7
2026-01-09T21:00:00.000+07:00,10.1
2026-01-09T22:00:00.000+07:00,9.2
2026-01-09T23:00:00.000+07:00,8.4
