time,temperature_c
2025-12-02T00:00,19.6
2025-12-02T01:00,20.6
2025-12-02T02:00,22.5
2025-12-02T03:00,24.1
2025-12-02T04:00,25.2
2025-12-02T05:00,26.2
2025-12-02T06:00,26.9
2025-12-02T07:00,27.3
2025-12-02T08:00,27.5
2025-12-02T09:00,27.2
2025-12-02T10:00,26.1
2025-12-02T11:00,25.1
2025-12-02T12:00,24.8
2025-12-02T13:00,23.7
2025-12-02T14:00,22.5
2025-12-02T15:00,22.2
2025-12-02T16:00,21.8
2025-12-02T17:00,21.4
2025-12-02T18:00,21.5
2025-12-02T19:00,21.3
2025-12-02T20:00,21.1
2025-12-02T21:00,21.0
2025-12-02T22:00,21.0
2025-12-02T23:00,21.0
2025-12-03T00:00,20.8
2025-12-03T01:00,21.7
2025-12-03T02:00,22.7
2025-12-03T03:00,22.9
2025-12-03T04:00,22.8
2025-12-03T05:00,23.0
2025-12-03T06:00,23.9
2025-12-03T07:00,23.4
2025-12-03T08:00,23.3
2025-12-03T09:00,23.0
2025-12-03T10:00,22.1
2025-12-03T11:00,21.2
2025-12-03T12:00,20.3
2025-12-03T13:00,19.6
2025-12-03T14:00,19.2
2025-12-03T15:00,19.0
2025-12-03T16:00,18.9
2025-12-03T17:00,18.8
2025-12-03T18:00,18.6
2025-12-03T19:00,18.3
2025-12-03T20:00,18.1
2025-12-03T21:00,18.1
2025-12-03T22:00,18.0
2025-12-03T23:00,18.1
