time,intersection,lat,lon,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
2025-12-07T13:59:46.012692,Ngã Tư Trần Duy Hưng - Khuất Duy Tiến,21.008,105.799,23,33,287,200,1,False
2025-12-07T13:59:46.012692,Ngã Tư Hoàng Cầu - Thái Hà,21.011,105.8205,21,31,634,429,1,False
2025-12-07T13:59:46.012692,Ngã Tư Phạm Hùng - Mễ Trì,20.9955,105.7805,29,41,703,497,1,False
2025-12-07T13:59:46.012692,Ngã Tư Hoàng Mai - Kim Đồng,20.9785,105.863,25,33,529,401,1,False
2025-12-07T13:59:46.012692,Ngã Tư Lê Văn Lương - Khuất Duy Tiến,20.9965,105.812,23,35,520,342,0.980585,False
2025-12-07T13:59:46.012692,Ngã Tư Tây Sơn - Chùa Bộc,21.0125,105.8275,18,27,635,423,1,False
2025-12-07T13:59:46.012692,Ngã Tư Trần Khát Chân - Giải Phóng,21.0005,105.853,17,28,402,244,1,False
2025-12-07T13:59:46.012692,Ngã Tư Liễu Giai - Đào Tấn,21.0395,105.821,22,32,1225,842,0.99969,False
2025-12-07T13:59:46.012692,Ngã Tư Phan Chu Trinh - Hàng Bài,21.0283,105.854,12,24,408,204,1,False
2025-12-07T13:59:46.012692,Ngã Tư Trần Phú - Nguyễn Chí Thanh,21.022,105.819,26,33,292,230,1,False
2025-12-07T13:59:46.012692,Ngã Tư Cầu Giấy - Duy Tân,21.038,105.787,19,35,433,235,1,False
2025-12-07T13:59:46.012692,Ngã Tư Xuân Thủy - Nguyễn Phong Sắc,21.036,105.792,19,35,433,235,1,False
2025-12-07T13:59:46.012692,Ngã Tư Nguyễn Văn Cừ - Long Biên,21.0445,105.8935,54,54,447,447,1,False
2025-12-07T13:59:46.012692,Ngã Tư Hồ Tùng Mậu - Phạm Văn Đồng,21.0505,105.79,25,33,364,276,1,False
2025-12-07T13:59:46.012692,Ngã Tư Mai Dịch - Cầu Giấy,21.0355,105.7865,22,33,380,253,1,False
2025-12-07T13:59:46.012692,Ngã Tư Hoàng Quốc Việt - Phạm Văn Đồng,21.0565,105.791,24,36,122,81,0.940005,False
2025-12-07T13:59:46.012692,Ngã Tư Vọng - Giải Phóng,21.0015,105.857,22,29,237,180,1,False
2025-12-07T13:59:46.012692,Ngã Tư Kim Liên - Xã Đàn,21.014,105.83,19,27,602,423,1,False
2025-12-07T13:59:46.012692,Ngã Tư Láng - Thái Thịnh,21.016,105.8185,20,29,628,433,1,False
2025-12-07T13:59:46.012692,Ngã Tư Trần Phú - Láng Hạ,21.0225,105.818,22,32,413,284,1,False
2025-12-07T13:59:46.012692,Ngã Tư Giải Phóng - Đại Cồ Việt,21.001,105.851,18,29,380,235,1,False
2025-12-07T13:59:46.012692,Ngã Tư Thanh Nhàn - Bạch Mai,21.0025,105.855,18,29,380,235,1,False
