time,intersection,lat,lon,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
2025-12-07T01:50:53.163549,Tràng Tiền - Hàng Bài,21.0285,105.8542,16,23,306,213,1,False
2025-12-07T01:50:53.163549,Cầu Giấy - Xuân Thủy,21.035,105.791,22,34,380,246,1,False
2025-12-07T01:50:53.163549,Ngã Tư Sở,21.0127,105.8192,20,31,665,429,1,False
2025-12-07T01:50:53.163549,Hai Bà Trưng - Lò Đúc,20.998,105.8433,28,37,1273,964,1,False
2025-12-07T01:50:53.163549,Ngã Tư Hàng Bài - Lê Thạch,21.028,105.853,0,0,0,0,0.5,True
2025-12-07T01:50:53.163549,Ngã Tư Phạm Ngọc Thạch - Xã Đàn,21.012,105.831,30,37,243,197,1,False
2025-12-07T01:50:53.163549,Ngã Tư Nguyễn Trãi - Khuất Duy Tiến,20.9985,105.8155,36,36,6,6,1,False
2025-12-07T01:50:53.163549,Ngã Tư Trần Phú - Láng Hạ,21.0225,105.818,24,31,379,293,1,False
2025-12-07T01:50:53.163549,Ngã Tư Giải Phóng - Đại Cồ Việt,21.001,105.851,18,28,380,244,1,False
2025-12-07T01:50:53.163549,Ngã Tư Thanh Nhàn - Bạch Mai,21.0025,105.855,18,28,380,244,1,False
2025-12-07T01:50:53.163549,Ngã Tư Hàng Khay - Hàng Bài,21.0286,105.8545,16,23,306,213,1,False
2025-12-07T01:50:53.163549,Ngã Tư Láng - Thái Thịnh,21.016,105.8185,23,30,546,419,1,False
2025-12-07T01:50:53.163549,Ngã Tư Cầu Giấy - Duy Tân,21.038,105.787,25,35,329,235,1,False
2025-12-07T01:50:53.163549,Ngã Tư Xuân Thủy - Nguyễn Phong Sắc,21.036,105.792,24,35,343,235,1,False
2025-12-07T01:50:53.163549,Ngã Tư Nguyễn Văn Cừ - Long Biên,21.0445,105.8935,45,53,537,456,1,False
2025-12-07T01:50:53.163549,Ngã Tư Hồ Tùng Mậu - Phạm Văn Đồng,21.0505,105.79,26,33,350,276,1,False
2025-12-07T01:50:53.163549,Ngã Tư Mai Dịch - Cầu Giấy,21.0355,105.7865,22,33,380,253,1,False
2025-12-07T01:50:53.163549,Ngã Tư Hoàng Quốc Việt - Phạm Văn Đồng,21.0565,105.791,36,36,81,81,1,False
2025-12-07T01:50:53.163549,Ngã Tư Vọng - Giải Phóng,21.0015,105.857,15,30,348,174,1,False
2025-12-07T01:50:53.163549,Ngã Tư Kim Liên - Xã Đàn,21.014,105.83,18,28,635,408,1,False
