time,intersection,lat,lon,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
2025-12-07T13:49:09.361746,Ngã Tư Trần Duy Hưng - Khuất Duy Tiến,21.008,105.799,26,33,254,200,1,False
2025-12-07T13:49:09.361746,Ngã Tư Hoàng Cầu - Thái Hà,21.011,105.8205,19,31,700,429,1,False
2025-12-07T13:49:09.361746,Ngã Tư Phạm Hùng - Mễ Trì,20.9955,105.7805,29,41,703,497,1,False
2025-12-07T13:49:09.361746,Ngã Tư Hoàng Mai - Kim Đồng,20.9785,105.863,24,33,551,401,1,False
2025-12-07T13:49:09.361746,Ngã Tư Lê Văn Lương - Khuất Duy Tiến,20.9965,105.812,26,34,460,352,0.975488,False
2025-12-07T13:49:09.361746,Ngã Tư Tây Sơn - Chùa Bộc,21.0125,105.8275,19,29,602,394,1,False
2025-12-07T13:49:09.361746,Ngã Tư Trần Khát Chân - Giải Phóng,21.0005,105.853,19,28,360,244,1,False
2025-12-07T13:49:09.361746,Ngã Tư Liễu Giai - Đào Tấn,21.0395,105.821,22,31,1225,869,0.99938,False
2025-12-07T13:49:09.361746,Ngã Tư Phan Chu Trinh - Hàng Bài,21.0283,105.854,15,24,327,204,1,False
2025-12-07T13:49:09.361746,Ngã Tư Trần Phú - Nguyễn Chí Thanh,21.022,105.819,23,33,330,230,1,False
2025-12-07T13:49:09.361746,Ngã Tư Cầu Giấy - Duy Tân,21.038,105.787,22,35,374,235,1,False
2025-12-07T13:49:09.361746,Ngã Tư Xuân Thủy - Nguyễn Phong Sắc,21.036,105.792,22,35,374,235,1,False
2025-12-07T13:49:09.361746,Ngã Tư Nguyễn Văn Cừ - Long Biên,21.0445,105.8935,43,53,562,456,1,False
2025-12-07T13:49:09.361746,Ngã Tư Hồ Tùng Mậu - Phạm Văn Đồng,21.0505,105.79,24,33,379,276,1,False
2025-12-07T13:49:09.361746,Ngã Tư Mai Dịch - Cầu Giấy,21.0355,105.7865,20,32,419,261,1,False
2025-12-07T13:49:09.361746,Ngã Tư Hoàng Quốc Việt - Phạm Văn Đồng,21.0565,105.791,26,36,112,81,0.87299,False
2025-12-07T13:49:09.361746,Ngã Tư Vọng - Giải Phóng,21.0015,105.857,21,31,248,168,1,False
2025-12-07T13:49:09.361746,Ngã Tư Kim Liên - Xã Đàn,21.014,105.83,19,29,602,394,1,False
2025-12-07T13:49:09.361746,Ngã Tư Láng - Thái Thịnh,21.016,105.8185,20,30,628,419,1,False
2025-12-07T13:49:09.361746,Ngã Tư Trần Phú - Láng Hạ,21.0225,105.818,31,31,293,293,1,False
2025-12-07T13:49:09.361746,Ngã Tư Giải Phóng - Đại Cồ Việt,21.001,105.851,19,28,360,244,1,False
2025-12-07T13:49:09.361746,Ngã Tư Thanh Nhàn - Bạch Mai,21.0025,105.855,19,28,360,244,1,False
2025-12-07T13:49:09.361746,Ngã Tư Hàng Khay - Hàng Bài,21.0286,105.8545,15,24,327,204,1,False
2025-12-07T13:49:09.361746,Ngã Tư Láng Hạ - Thái Hà,21.0175,105.819,23,33,330,230,1,False
2025-12-07T13:49:09.361746,Ngã Tư Điện Biên Phủ - Trần Phú,21.024,105.822,23,33,330,230,1,False
2025-12-07T13:49:09.361746,Ngã Tư Điện Biên Phủ - Cửa Nam,21.032,105.8215,27,35,522,403,1,False
2025-12-07T13:49:09.361746,Ngã Tư Nguyễn Chí Thanh - Láng Hạ,21.021,105.8175,31,31,293,293,1,False
2025-12-07T13:49:09.361746,Ngã Tư Lê Duẩn - Nguyễn Thái Học,21.033,105.839,19,28,959,650,1,False
2025-12-07T13:49:09.361746,Ngã Tư Nguyễn Trãi - Khuất Duy Tiến,20.9985,105.8155,27,36,8,6,0.78,False
2025-12-07T13:49:09.361746,Ngã Tư Lê Trọng Tấn - Quang Trung,21.006,105.8135,27,38,1321,938,1,False
2025-12-07T13:49:09.361746,Ngã Tư Giáp Bát - Lò Đúc,21.0,105.847,15,27,449,249,1,False
2025-12-07T13:49:09.361746,Ngã Tư Hoàng Mai - Giải Phóng,20.9775,105.86,24,33,551,401,1,False
2025-12-07T13:49:09.361746,Ngã Tư Minh Khai - Trương Định,21.005,105.871,33,40,2139,1764,1,False
2025-12-07T13:49:09.361746,Ngã Tư Cầu Giấy - Xuân Thủy,21.035,105.791,21,32,399,261,1,False
2025-12-07T13:49:09.361746,Ngã Tư Trần Duy Hưng - Khuất Duy Tiến,21.008,105.799,21,33,315,200,1,False
2025-12-07T13:49:09.361746,Ngã Tư Hoàng Cầu - Thái Hà,21.011,105.8205,17,30,783,443,1,False
2025-12-07T13:49:09.361746,Ngã Tư Phạm Hùng - Mễ Trì,20.9955,105.7805,28,41,729,497,1,False
2025-12-07T13:49:09.361746,Ngã Tư Hoàng Mai - Kim Đồng,20.9785,105.863,26,33,509,401,1,False
2025-12-07T13:49:09.361746,Ngã Tư Lê Văn Lương - Khuất Duy Tiến,20.9965,105.812,26,36,460,332,0.975929,False
2025-12-07T13:49:09.361746,Ngã Tư Tây Sơn - Chùa Bộc,21.0125,105.8275,20,28,572,408,1,False
2025-12-07T13:49:09.361746,Ngã Tư Trần Khát Chân - Giải Phóng,21.0005,105.853,19,28,360,244,1,False
2025-12-07T13:49:09.361746,Ngã Tư Liễu Giai - Đào Tấn,21.0395,105.821,22,32,1225,842,0.99907,False
