time,intersection,lat,lon,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
2025-12-07T13:42:11.100253,Ngã Tư Trần Duy Hưng - Khuất Duy Tiến,21.008,105.799,23,33,287,200,1,False
2025-12-07T13:42:11.100253,Ngã Tư Hoàng Cầu - Thái Hà,21.011,105.8205,19,31,700,429,1,False
2025-12-07T13:42:11.100253,Ngã Tư Phạm Hùng - Mễ Trì,20.9955,105.7805,31,42,658,486,1,False
2025-12-07T13:42:11.100253,Ngã Tư Hoàng Mai - Kim Đồng,20.9785,105.863,24,33,551,401,1,False
2025-12-07T13:42:11.100253,Ngã Tư Lê Văn Lương - Khuất Duy Tiến,20.9965,105.812,26,36,460,332,0.971424,False
2025-12-07T13:42:11.100253,Ngã Tư Tây Sơn - Chùa Bộc,21.0125,105.8275,17,28,673,408,1,False
2025-12-07T13:42:11.100253,Ngã Tư Trần Khát Chân - Giải Phóng,21.0005,105.853,17,28,402,244,1,False
2025-12-07T13:42:11.100253,Ngã Tư Liễu Giai - Đào Tấn,21.0395,105.821,21,32,1283,842,0.99969,False
2025-12-07T13:42:11.100253,Ngã Tư Phan Chu Trinh - Hàng Bài,21.0283,105.854,14,23,350,213,1,False
2025-12-07T13:42:11.100253,Ngã Tư Trần Phú - Nguyễn Chí Thanh,21.022,105.819,25,33,303,230,1,False
2025-12-07T13:42:11.100253,Ngã Tư Cầu Giấy - Duy Tân,21.038,105.787,21,35,392,235,1,False
2025-12-07T13:42:11.100253,Ngã Tư Xuân Thủy - Nguyễn Phong Sắc,21.036,105.792,21,35,392,235,1,False
2025-12-07T13:42:11.100253,Ngã Tư Nguyễn Văn Cừ - Long Biên,21.0445,105.8935,54,54,447,447,1,False
2025-12-07T13:42:11.100253,Ngã Tư Hồ Tùng Mậu - Phạm Văn Đồng,21.0505,105.79,24,32,379,284,1,False
2025-12-07T13:42:11.100253,Ngã Tư Mai Dịch - Cầu Giấy,21.0355,105.7865,22,32,380,261,1,False
2025-12-07T13:42:11.100253,Ngã Tư Hoàng Quốc Việt - Phạm Văn Đồng,21.0565,105.791,36,36,81,81,1,False
2025-12-07T13:42:11.100253,Ngã Tư Vọng - Giải Phóng,21.0015,105.857,30,30,174,174,1,False
2025-12-07T13:42:11.100253,Ngã Tư Kim Liên - Xã Đàn,21.014,105.83,17,28,673,408,1,False
2025-12-07T13:42:11.100253,Ngã Tư Láng - Thái Thịnh,21.016,105.8185,19,31,662,405,1,False
2025-12-07T13:42:11.100253,Ngã Tư Trần Phú - Láng Hạ,21.0225,105.818,26,32,350,284,1,False
2025-12-07T13:42:11.100253,Ngã Tư Giải Phóng - Đại Cồ Việt,21.001,105.851,17,28,402,244,1,False
2025-12-07T13:42:11.100253,Ngã Tư Thanh Nhàn - Bạch Mai,21.0025,105.855,17,28,402,244,1,False
2025-12-07T13:42:11.100253,Ngã Tư Hàng Khay - Hàng Bài,21.0286,105.8545,14,23,350,213,1,False
2025-12-07T13:42:11.100253,Ngã Tư Láng Hạ - Thái Hà,21.0175,105.819,25,33,303,230,1,False
2025-12-07T13:42:11.100253,Ngã Tư Điện Biên Phủ - Trần Phú,21.024,105.822,25,33,303,230,1,False
2025-12-07T13:42:11.100253,Ngã Tư Điện Biên Phủ - Cửa Nam,21.032,105.8215,28,35,504,403,1,False
2025-12-07T13:42:11.100253,Ngã Tư Nguyễn Chí Thanh - Láng Hạ,21.021,105.8175,26,32,350,284,1,False
2025-12-07T13:42:11.100253,Ngã Tư Lê Duẩn - Nguyễn Thái Học,21.033,105.839,18,27,1012,675,1,False
2025-12-07T13:42:11.100253,Ngã Tư Nguyễn Trãi - Khuất Duy Tiến,20.9985,105.8155,26,35,8,6,0.86,False
2025-12-07T13:42:11.100253,Ngã Tư Lê Trọng Tấn - Quang Trung,21.006,105.8135,26,38,1371,938,1,False
2025-12-07T13:42:11.100253,Ngã Tư Giáp Bát - Lò Đúc,21.0,105.847,20,27,337,249,1,False
2025-12-07T13:42:11.100253,Ngã Tư Hoàng Mai - Giải Phóng,20.9775,105.86,24,33,551,401,1,False
2025-12-07T13:42:11.100253,Ngã Tư Minh Khai - Trương Định,21.005,105.871,32,40,2205,1764,1,False
2025-12-07T13:42:11.100253,Ngã Tư Cầu Giấy - Xuân Thủy,21.035,105.791,23,32,364,261,1,False
2025-12-07T13:42:11.100253,Ngã Tư Trần Duy Hưng - Khuất Duy Tiến,21.008,105.799,22,33,300,200,1,False
2025-12-07T13:42:11.100253,Ngã Tư Hoàng Cầu - Thái Hà,21.011,105.8205,17,30,783,443,1,False
2025-12-07T13:42:11.100253,Ngã Tư Phạm Hùng - Mễ Trì,20.9955,105.7805,29,41,703,497,1,False
2025-12-07T13:42:11.100253,Ngã Tư Hoàng Mai - Kim Đồng,20.9785,105.863,24,33,551,401,1,False
2025-12-07T13:42:11.100253,Ngã Tư Lê Văn Lương - Khuất Duy Tiến,20.9965,105.812,27,35,443,342,0.971424,False
2025-12-07T13:42:11.100253,Ngã Tư Tây Sơn - Chùa Bộc,21.0125,105.8275,18,28,635,408,1,False
2025-12-07T13:42:11.100253,Ngã Tư Trần Khát Chân - Giải Phóng,21.0005,105.853,15,28,456,244,1,False
2025-12-07T13:42:11.100253,Ngã Tư Liễu Giai - Đào Tấn,21.0395,105.821,21,32,1283,842,0.99969,False
2025-12-07T13:42:11.100253,Ngã Tư Phan Chu Trinh - Hàng Bài,21.0283,105.854,14,23,350,213,1,False
2025-12-07T13:42:11.100253,Ngã Tư Trần Phú - Nguyễn Chí Thanh,21.022,105.819,23,32,330,237,1,False
2025-12-07T13:42:11.100253,Ngã Tư Cầu Giấy - Duy Tân,21.038,105.787,20,36,412,228,1,False
