time,intersection,lat,lon,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
2025-12-07T13:34:35.758504,Ngã Tư Trần Duy Hưng - Khuất Duy Tiến,21.008,105.799,27,32,245,206,1,False
2025-12-07T13:34:35.758504,Ngã Tư Hoàng Cầu - Thái Hà,21.011,105.8205,20,31,665,429,1,False
2025-12-07T13:34:35.758504,Ngã Tư Phạm Hùng - Mễ Trì,20.9955,105.7805,28,41,729,497,1,False
2025-12-07T13:34:35.758504,Ngã Tư Hoàng Mai - Kim Đồng,20.9785,105.863,24,33,551,401,1,False
2025-12-07T13:34:35.758504,Ngã Tư Lê Văn Lương - Khuất Duy Tiến,20.9965,105.812,22,36,544,332,0.982367,False
2025-12-07T13:34:35.758504,Ngã Tư Tây Sơn - Chùa Bộc,21.0125,105.8275,18,27,635,423,1,False
2025-12-07T13:34:35.758504,Ngã Tư Trần Khát Chân - Giải Phóng,21.0005,105.853,19,28,360,244,1,False
2025-12-07T13:34:35.758504,Ngã Tư Liễu Giai - Đào Tấn,21.0395,105.821,23,32,1171,842,0.99938,False
2025-12-07T13:34:35.758504,Ngã Tư Phan Chu Trinh - Hàng Bài,21.0283,105.854,13,23,377,213,1,False
2025-12-07T13:34:35.758504,Ngã Tư Trần Phú - Nguyễn Chí Thanh,21.022,105.819,22,33,345,230,1,False
2025-12-07T13:34:35.758504,Ngã Tư Cầu Giấy - Duy Tân,21.038,105.787,20,35,412,235,1,False
2025-12-07T13:34:35.758504,Ngã Tư Xuân Thủy - Nguyễn Phong Sắc,21.036,105.792,22,35,374,235,1,False
2025-12-07T13:34:35.758504,Ngã Tư Nguyễn Văn Cừ - Long Biên,21.0445,105.8935,54,54,447,447,1,False
2025-12-07T13:34:35.758504,Ngã Tư Hồ Tùng Mậu - Phạm Văn Đồng,21.0505,105.79,24,33,379,276,1,False
2025-12-07T13:34:35.758504,Ngã Tư Mai Dịch - Cầu Giấy,21.0355,105.7865,22,32,380,261,1,False
2025-12-07T13:34:35.758504,Ngã Tư Hoàng Quốc Việt - Phạm Văn Đồng,21.0565,105.791,36,36,81,81,1,False
2025-12-07T13:34:35.758504,Ngã Tư Vọng - Giải Phóng,21.0015,105.857,23,30,227,174,1,False
2025-12-07T13:34:35.758504,Ngã Tư Kim Liên - Xã Đàn,21.014,105.83,17,26,673,440,1,False
2025-12-07T13:34:35.758504,Ngã Tư Láng - Thái Thịnh,21.016,105.8185,17,30,739,419,1,False
2025-12-07T13:34:35.758504,Ngã Tư Trần Phú - Láng Hạ,21.0225,105.818,24,32,379,284,1,False
2025-12-07T13:34:35.758504,Ngã Tư Giải Phóng - Đại Cồ Việt,21.001,105.851,18,28,380,244,1,False
2025-12-07T13:34:35.758504,Ngã Tư Thanh Nhàn - Bạch Mai,21.0025,105.855,18,28,380,244,1,False
2025-12-07T13:34:35.758504,Ngã Tư Hàng Khay - Hàng Bài,21.0286,105.8545,13,23,377,213,1,False
2025-12-07T13:34:35.758504,Ngã Tư Láng Hạ - Thái Hà,21.0175,105.819,22,33,345,230,1,False
2025-12-07T13:34:35.758504,Ngã Tư Điện Biên Phủ - Trần Phú,21.024,105.822,22,33,345,230,1,False
2025-12-07T13:34:35.758504,Ngã Tư Điện Biên Phủ - Cửa Nam,21.032,105.8215,27,35,522,403,1,False
2025-12-07T13:34:35.758504,Ngã Tư Nguyễn Chí Thanh - Láng Hạ,21.021,105.8175,24,32,379,284,1,False
2025-12-07T13:34:35.758504,Ngã Tư Lê Duẩn - Nguyễn Thái Học,21.033,105.839,17,28,1072,650,1,False
2025-12-07T13:34:35.758504,Ngã Tư Nguyễn Trãi - Khuất Duy Tiến,20.9985,105.8155,24,36,9,6,0.88,False
2025-12-07T13:34:35.758504,Ngã Tư Lê Trọng Tấn - Quang Trung,21.006,105.8135,26,37,1371,964,1,False
2025-12-07T13:34:35.758504,Ngã Tư Giáp Bát - Lò Đúc,21.0,105.847,19,28,355,240,1,False
2025-12-07T13:34:35.758504,Ngã Tư Hoàng Mai - Giải Phóng,20.9775,105.86,23,33,575,401,1,False
2025-12-07T13:34:35.758504,Ngã Tư Minh Khai - Trương Định,21.005,105.871,32,40,2205,1764,1,False
2025-12-07T13:34:35.758504,Ngã Tư Cầu Giấy - Xuân Thủy,21.035,105.791,22,32,380,261,1,False
2025-12-07T13:34:35.758504,Ngã Tư Trần Duy Hưng - Khuất Duy Tiến,21.008,105.799,25,32,264,206,1,False
2025-12-07T13:34:35.758504,Ngã Tư Hoàng Cầu - Thái Hà,21.011,105.8205,19,31,700,429,1,False
2025-12-07T13:34:35.758504,Ngã Tư Phạm Hùng - Mễ Trì,20.9955,105.7805,29,41,703,497,1,False
2025-12-07T13:34:35.758504,Ngã Tư Hoàng Mai - Kim Đồng,20.9785,105.863,23,33,575,401,1,False
2025-12-07T13:34:35.758504,Ngã Tư Lê Văn Lương - Khuất Duy Tiến,20.9965,105.812,22,36,544,332,0.97985,False
2025-12-07T13:34:35.758504,Ngã Tư Tây Sơn - Chùa Bộc,21.0125,105.8275,17,26,673,440,1,False
2025-12-07T13:34:35.758504,Ngã Tư Trần Khát Chân - Giải Phóng,21.0005,105.853,18,28,380,244,1,False
2025-12-07T13:34:35.758504,Ngã Tư Liễu Giai - Đào Tấn,21.0395,105.821,23,32,1171,842,0.99938,False
2025-12-07T13:34:35.758504,Ngã Tư Phan Chu Trinh - Hàng Bài,21.0283,105.854,13,23,377,213,1,False
2025-12-07T13:34:35.758504,Ngã Tư Trần Phú - Nguyễn Chí Thanh,21.022,105.819,22,33,345,230,1,False
