time,intersection,lat,lon,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
2025-12-07T02:00:09.600616,Tràng Tiền - Hàng Bài,21.0285,105.8542,17,24,288,204,1,False
2025-12-07T02:00:09.600616,Cầu Giấy - Xuân Thủy,21.035,105.791,21,33,399,253,1,False
2025-12-07T02:00:09.600616,Ngã Tư Sở,21.0127,105.8192,20,31,665,429,1,False
2025-12-07T02:00:09.600616,Hai Bà Trưng - Lò Đúc,20.998,105.8433,27,37,1321,964,1,False
2025-12-07T02:00:09.600616,Ngã Tư Hàng Bài - Lê Thạch,21.028,105.853,0,0,0,0,0.5,True
2025-12-07T02:00:09.600616,Ngã Tư Phạm Ngọc Thạch - Xã Đàn,21.012,105.831,37,37,197,197,1,False
2025-12-07T02:00:09.600616,Ngã Tư Nguyễn Trãi - Khuất Duy Tiến,20.9985,105.8155,23,35,9,6,0.96,False
2025-12-07T02:00:09.600616,Ngã Tư Trần Phú - Láng Hạ,21.0225,105.818,31,31,293,293,1,False
2025-12-07T02:00:09.600616,Ngã Tư Giải Phóng - Đại Cồ Việt,21.001,105.851,22,28,310,244,1,False
2025-12-07T02:00:09.600616,Ngã Tư Thanh Nhàn - Bạch Mai,21.0025,105.855,22,28,310,244,1,False
2025-12-07T02:00:09.600616,Ngã Tư Hàng Khay - Hàng Bài,21.0286,105.8545,17,24,288,204,1,False
2025-12-07T02:00:09.600616,Ngã Tư Láng - Thái Thịnh,21.016,105.8185,20,29,628,433,1,False
2025-12-07T02:00:09.600616,Ngã Tư Cầu Giấy - Duy Tân,21.038,105.787,20,35,412,235,1,False
2025-12-07T02:00:09.600616,Ngã Tư Xuân Thủy - Nguyễn Phong Sắc,21.036,105.792,20,35,412,235,1,False
2025-12-07T02:00:09.600616,Ngã Tư Nguyễn Văn Cừ - Long Biên,21.0445,105.8935,45,54,537,447,1,False
2025-12-07T02:00:09.600616,Ngã Tư Hồ Tùng Mậu - Phạm Văn Đồng,21.0505,105.79,23,32,396,284,1,False
2025-12-07T02:00:09.600616,Ngã Tư Mai Dịch - Cầu Giấy,21.0355,105.7865,21,33,399,253,1,False
2025-12-07T02:00:09.600616,Ngã Tư Hoàng Quốc Việt - Phạm Văn Đồng,21.0565,105.791,28,35,104,83,0.99,False
2025-12-07T02:00:09.600616,Ngã Tư Vọng - Giải Phóng,21.0015,105.857,18,30,290,174,1,False
2025-12-07T02:00:09.600616,Ngã Tư Kim Liên - Xã Đàn,21.014,105.83,17,28,673,408,1,False
