time,intersection,lat,lon,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
2025-12-07T09:28:40.836561,Tràng Tiền - Hàng Bài,21.0285,105.8542,10,23,490,213,1,False
2025-12-07T09:28:40.836561,Cầu Giấy - Xuân Thủy,21.035,105.791,16,32,523,261,1,False
2025-12-07T09:28:40.836561,Ngã Tư Sở,21.0127,105.8192,17,31,783,429,1,False
2025-12-07T09:28:40.836561,Hai Bà Trưng - Lò Đúc,20.998,105.8433,23,37,1550,964,1,False
2025-12-07T09:28:40.836561,Ngã Tư Hàng Bài - Lê Thạch,21.028,105.853,0,0,0,0,0.5,True
2025-12-07T09:28:40.836561,Ngã Tư Phạm Ngọc Thạch - Xã Đàn,21.012,105.831,29,36,252,203,1,False
2025-12-07T09:28:40.836561,Ngã Tư Nguyễn Trãi - Khuất Duy Tiến,20.9985,105.8155,27,36,8,6,0.98,False
2025-12-07T09:28:40.836561,Ngã Tư Trần Phú - Láng Hạ,21.0225,105.818,24,32,379,284,1,False
2025-12-07T09:28:40.836561,Ngã Tư Giải Phóng - Đại Cồ Việt,21.001,105.851,19,28,360,244,1,False
2025-12-07T09:28:40.836561,Ngã Tư Thanh Nhàn - Bạch Mai,21.0025,105.855,21,28,325,244,1,False
2025-12-07T09:28:40.836561,Ngã Tư Hàng Khay - Hàng Bài,21.0286,105.8545,14,24,350,204,1,False
2025-12-07T09:28:40.836561,Ngã Tư Láng - Thái Thịnh,21.016,105.8185,17,30,739,419,1,False
2025-12-07T09:28:40.836561,Ngã Tư Cầu Giấy - Duy Tân,21.038,105.787,17,36,484,228,1,False
2025-12-07T09:28:40.836561,Ngã Tư Xuân Thủy - Nguyễn Phong Sắc,21.036,105.792,17,36,484,228,1,False
2025-12-07T09:28:40.836561,Ngã Tư Nguyễn Văn Cừ - Long Biên,21.0445,105.8935,54,54,447,447,1,False
2025-12-07T09:28:40.836561,Ngã Tư Hồ Tùng Mậu - Phạm Văn Đồng,21.0505,105.79,22,33,414,276,1,False
2025-12-07T09:28:40.836561,Ngã Tư Mai Dịch - Cầu Giấy,21.0355,105.7865,16,32,523,261,1,False
2025-12-07T09:28:40.836561,Ngã Tư Hoàng Quốc Việt - Phạm Văn Đồng,21.0565,105.791,30,36,97,81,0.971355,False
2025-12-07T09:28:40.836561,Ngã Tư Vọng - Giải Phóng,21.0015,105.857,20,30,261,174,1,False
2025-12-07T09:28:40.836561,Ngã Tư Kim Liên - Xã Đàn,21.014,105.83,17,29,673,394,1,False
