time,intersection,lat,lon,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
2025-12-07T09:45:53.209870,Tràng Tiền - Hàng Bài,21.0285,105.8542,14,24,350,204,1,False
2025-12-07T09:45:53.209870,Cầu Giấy - Xuân Thủy,21.035,105.791,18,33,465,253,1,False
2025-12-07T09:45:53.209870,Ngã Tư Sở,21.0127,105.8192,17,31,783,429,1,False
2025-12-07T09:45:53.209870,Hai Bà Trưng - Lò Đúc,20.998,105.8433,22,37,1621,964,1,False
2025-12-07T09:45:53.209870,Ngã Tư Hàng Bài - Lê Thạch,21.028,105.853,0,0,0,0,0.5,True
2025-12-07T09:45:53.209870,Ngã Tư Phạm Ngọc Thạch - Xã Đàn,21.012,105.831,24,37,304,197,1,False
2025-12-07T09:45:53.209870,Ngã Tư Nguyễn Trãi - Khuất Duy Tiến,20.9985,105.8155,36,36,6,6,1,False
2025-12-07T09:45:53.209870,Ngã Tư Trần Phú - Láng Hạ,21.0225,105.818,25,32,364,284,1,False
2025-12-07T09:45:53.209870,Ngã Tư Giải Phóng - Đại Cồ Việt,21.001,105.851,19,27,360,253,1,False
2025-12-07T09:45:53.209870,Ngã Tư Thanh Nhàn - Bạch Mai,21.0025,105.855,19,27,360,253,1,False
2025-12-07T09:45:53.209870,Ngã Tư Hàng Khay - Hàng Bài,21.0286,105.8545,14,24,350,204,1,False
2025-12-07T09:45:53.209870,Ngã Tư Láng - Thái Thịnh,21.016,105.8185,20,29,628,433,1,False
2025-12-07T09:45:53.209870,Ngã Tư Cầu Giấy - Duy Tân,21.038,105.787,19,35,433,235,1,False
2025-12-07T09:45:53.209870,Ngã Tư Xuân Thủy - Nguyễn Phong Sắc,21.036,105.792,19,35,433,235,1,False
2025-12-07T09:45:53.209870,Ngã Tư Nguyễn Văn Cừ - Long Biên,21.0445,105.8935,42,54,575,447,1,False
2025-12-07T09:45:53.209870,Ngã Tư Hồ Tùng Mậu - Phạm Văn Đồng,21.0505,105.79,24,33,379,276,1,False
2025-12-07T09:45:53.209870,Ngã Tư Mai Dịch - Cầu Giấy,21.0355,105.7865,17,32,492,261,1,False
2025-12-07T09:45:53.209870,Ngã Tư Hoàng Quốc Việt - Phạm Văn Đồng,21.0565,105.791,27,37,108,79,0.982829,False
2025-12-07T09:45:53.209870,Ngã Tư Vọng - Giải Phóng,21.0015,105.857,18,30,290,174,1,False
2025-12-07T09:45:53.209870,Ngã Tư Kim Liên - Xã Đàn,21.014,105.83,17,28,673,408,1,False
